"Precinct: 15001 ","Polling Place: ",1,,,,,"Total: 500 ","Age 18-27: 37.4% ","Age 48-57: ",,"10.0%",,,
"Toe Tow n public School, Toe Tow n, Grand Gedeh ",,,,,,,"Males: 46.2% Females: 53.8% ","Age 28-37: 17.2% Age 38-47: 17.2% ","Age 57-68: Age 68+: ",,"5.4%12.8%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Grand Gedeh ",,"Grand Gedeh, Electoral District 1",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,2,"BOONS, Seward K. (NDPL) ",,18,"GBIEOR, Rufus Wonblayon (NDM) ",,,,,,29,
"BRUMSKINE, Charles Walker (LP) ",,,1,"DENNIS, Annie Suah (LP) ",,34,"GLEN, Jomael Nyonplu (NDPL) ",,,,,,123,
"CONNEH, Sekou Damate (PRODEM) ",,,0,"DWUYE, SR., Philip Bayor (COTOL) ",,26,"KARYEE, William Surveyea (COTOL) ",,,,,,25,
"DIVINE, SR., Samuel Raymond (Ind) ",,,0,"GAYE, Alphonso G. (UP) ",,37,"PARJEBO, Brown Chayee (UP) ",,,,,,19,
"FARHAT, David M. (FDP) ",,,0,"KANNAH, Amos Querty (CDC) ",,34,"WHYEE, Kai-Matthew  (CDC) ",,,,,,140,
"JALLAH, Armah Zolu (NPL) ",,,0,"NYENABO, Isaac Wehyee (NDPL) ",,136,,"Valid Votes: ",,,,,336,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,5,"SANDY, William Cheyety (COTOL) ",,258,,"Invalid Votes: ",,,,,8,
"KIADII, George Momodu (NATVIPOL) ",,,0,"SAYDEE, Augustine N. (CDC) ",,88,,"Total Votes: ",,,,,344,
"KIEH, JR., George Klay (NDM) ",,,1,"SLANGER, Edward N. (LPL) ",,22,,,,,,,,
"KORTO, Joseph D. Z. (LERP) ",,,1,"WALLACE, John N. (UP) ",,11,,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,1,,"Valid Votes: ",664,,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,1,,"Invalid Ballots: ",7,,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,0,,"Valid Votes + Invalid Ballots: ",671,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,,,,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,1,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,,,,,,,,,,,
