30033 ,JOHNSONVILLE ,JOHNSON VILLE ELE/JR HIGH SCHOOL ,2 ,735 ,- ,-
30195 ,JOHNSONVILLE ,N R C SCHOOL ,3 ,"1,569 ",1 ,209
30196 ,JOHNSONVILLE ,CHILD FRENDLY SPACE ,1 ,304 ,2 ,"1,012"
30197 ,JOHNSONVILLE ,DISTRIBUTION CENTER ,2 ,652 ,2 ,"1,018"
30501 ,NYEHN TOWN ,NYEHN PUBLIC SCHOOL BLDG. ,2 ,"1,134 ",- ,-
30503 ,SACKIE TOWN ,SACKIE TOWN SCHOOL ,1 ,372 ,- ,-
30504 ,ZANNAHTOWN ,ZANNAH TOWN PUBLIC SCHOOL ,2 ,990 ,- ,-
30505 ,MOISEE TOWN ,PALAVA HUT ,1 ,436 ,- ,-
30506 ,PLEEMUTOWN ,PLEEMU SCHOOL BLDG ,3 ,"1,386 ",- ,-
*30508 ,KAHTOE TOWN ,KAHTOE TOWN COMMUNITY,"","","",""
30507 ,YARKPAZUAH TOWN ,PALAVA HUT ,1 ,550 ,- ,-
30509 ,GOBATOWN ,GOBA TOWN SCHOOL BLDG ,2 ,950 ,- ,-
30510 ,GWEE TOWN ,GWEE TOWN SCHOOL BLDG ,1 ,520 ,- ,-
30511 ,MORRIS FARM ,MORRIS FARM ELEMENTARY SCHOOL ,3 ,"1,453 ",- ,-
*30512 ,BLOPA TOWN ,BLOPA TOWN COMMUNITY,"","","",""
30513 ,ZINGBOR TOWN ,ZINGBOR TOWN HALL ,2 ,753 ,- ,-
30514 ,KOON TOWN ,PALAVA HUT ,2 ,746 ,- ,-
30515 ,HOLDER TOWN ,DORRIS G. HOLDER SCHOOL ,1 ,518 ,- ,-
30516 ,YEAGBAHTOWN ,PALAVA HUT ,2 ,981 ,- ,-
30517 ,CLEANTOWN ,PALAVA HUT ,1 ,430 ,- ,-
30519 ,MARY PAGE FARM ,LIVING WORD MISSION SCHOOL ,2 ,685 ,- ,-
*30518 ,MARJOE TOWN ,MARJOE TOWN COMMUNITY,"","","",""
30520 ,YAKPAI TOWN ,PALAVA HUT ,2 ,883 ,- ,-
30521 ,TARQUIO TOWN ,PALAVA HUT ,2 ,730 ,- ,-
30522 ,BENSONVILLE CITY ,EUPHIMIA BARCLAY SCHOOL ,2 ,"1,052 ",1 ,287
*30643 ,BENSONVILLE CITY ,CIVIL COMPOUND IDP CAMP,"","","",""
30523 ,KAPAYA KULLEH TOWN ,PALAVA HUT ,1 ,480 ,- ,-
30524 ,CROZERVILLE TOWNSHI ,CROZERVILLE TOWNHALL ,2 ,832 ,- ,-
*30526 ,DAVID PADMORE'S TOWN ,DAVID TOWN COMMUNITY,"","","",""
30525 ,BULU TOWN ,PALAVA HUT ,2 ,632 ,- ,-
30527 ,WHITE PLAINS TOWN ,JESUS CHRIST CHILDREN MIN. INT'L ,1 ,254 ,- ,-
30528 ,HART TOWN ,CHURCH OF GOD ,1 ,283 ,- ,-
30529 ,HARRISBURG TOWNSHIP ,COMMISSIONER'S OFFICE ,1 ,403 ,- ,-
30530 ,BORBOR TOWN ,PALAVA HUT ,1 ,242 ,- ,-
30531 ,CAREYSBURG CITY ,ADMINISTRATIVE BUILDING ,4 ,"2,292 ",- ,-
30532 ,KINGSVILLE TOWN ,KINGSVILLE PUBLIC SCHOOL ,5 ,"2,456 ",1 ,461
*30645 ,KINGSVILLE TOWN ,15TH GATE IDP CAMP,"","","",""
*30647 ,KINGSVILLE TOWN ,KINGSVILLE NO.7 IDP CAMP,"","","",""
30533 ,WEIN TOWN ,WEIN TOWN PUBLIC SCHOOL ,4 ,"1,894 ",- ,-
30642 ,TODEE ,BERNARD CURVE IDP CAMP ,1 ,414 ,1 ,498
30644 ,BENSONVILLE CITY ,CHILDREN HOME IDP CAMP ,3 ,"1,301 ",1 ,46
30646 ,CARREYSBURG ,NEW LAND HOME IDP CAMP ,2 ,980 ,1 ,541
30648 ,KINGSVILLE TOWN ,FREEMAN RESERVE IDP CAMP ,2 ,739 ,1 ,332
30651 ,MALAMU TOWN ,MALAMU TOWN ,1 ,334 ,- ,-
