36009 ,GEOZOHN ,GOEZOHN TOWN CENTER ,3 ,"1,309 ",- ,-
36011 ,NEEZOIN ,NEEZOIN CENTER ,2 ,923 ,- ,-
36012 ,GARPUE ,GARPUE TOWN CENTER ,1 ,432 ,- ,-
36013 ,ZAMMIE ,ZAMMIE TOWN PUBLIC SCHOOL ,1 ,390 ,- ,-
36014 ,KACHUKON ,KACHUKON TOWN CENTER ,2 ,718 ,- ,-
36015 ,GBARSLEH ,GBARSLEH TOWN CENTER ,2 ,781 ,- ,-
36016 ,KANGBO ,NEW CREATION SCHOOL ,1 ,584 ,- ,-
36017 ,BOJEESAY ,BOJEESAY TOWN CENTER ,3 ,"1,293 ",- ,-
36018 ,DEBBAH ,DEBBAH TOWN CENTER ,1 ,389 ,- ,-
36019 ,PAYE ,PAYE TOWN CENTER ,2 ,730 ,- ,-
36020 ,BAHN ,BAHN TOWN CENTER ,1 ,586 ,- ,-
36021 ,BODOWHEA ,BODOWHEA TOWN CENTER ,2 ,"1,104 ",- ,-
36022 ,GLEOZOHN ,GLEIOZOHN TOWN CENTER ,2 ,666 ,- ,-
