30090 ,DUALA/CALDWELL ,GOD IS OUR LIGHT SCHOOL ,3 ,"1,237 ",- ,-
30091 ,DUALA/CALDWELL ,GOD IS OUR LIGHT SCHOOL ,3 ,"1,268 ",- ,-
30094 ,DUALA/CALDWELL ,WESLAYAN ACADEMY ,5 ,"2,494 ",- ,-
*30092 ,DUALA/CALDWELL ,MOMBO TOWN/STOCKTON CREEK,"","","",""
*30093 ,DUALA/CALDWELL ,MOMBO TOWN/STOCKTON CREEK,"","","",""
30099 ,DUALA/CALDWELL ,ST MARYS SCHOOL ,3 ,"1,213 ",- ,-
30100 ,DUALA/CALDWELL ,ST MARYS SCHOOL ,3 ,"1,218 ",- ,-
30102 ,DUALA/CALDWELL ,AGM SCH BLDG ,4 ,"2,019 ",- ,-
*30101 ,DUALA/CALDWELL ,CALDWELL ROAD,"","","",""
*30103 ,DUALA/CALDWELL ,CALDWELL RD. JUNCTION,"","","",""
30105 ,DUALA/CALDWELL ,NATIONAL HOUSING BANK ,3 ,"1,480 ",- ,-
*30104 ,DUALA/CALDWELL ,CALDWELL RD. JUNCTION,"","","",""
30108 ,BONG MINE BRIDGE ,LUTHERAN SCHOOL BLDG ,3 ,"1,705 ",- ,-
*30109 ,BONG MINE BRIDGE ,BONG MINES  BRIDGE,"","","",""
*30110 ,BONG MINE BRIDGE ,BONG MINES  BRIDGE,"","","",""
30112 ,BONG MINE BRIDGE , KING PETERS TOWN ELEM SCHOOL ,3 ,"1,406 ",- ,-
*30111 ,BONG MINE BRIDGE ,KING PATERS TOWN,"","","",""
30113 ,LOGAN TOWN ,CENTRAL MARKET NURSURY SCHOOL ,3 ,"1,499 ",- ,-
30114 ,LOGAN TOWN ,CENTRAL MARKET NURSURY SCHOOL ,3 ,"1,683 ",- ,-
30115 ,LOGAN TOWN ,JOANNA ANTOR EL & JR HIGH SCH ,5 ,"2,758 ",- ,-
*30116 ,LOGAN TOWN , LOGAN TOWN CENTRAL,"","","",""
30118 ,LOGAN TOWN ,ST EDWARD CATHOLIC SCHOOL ,4 ,"2,048 ",- ,-
*30117 ,LOGAN TOWN , LOGAN TOWN CENTRAL,"","","",""
30119 ,LOGAN TOWN ,K ABEDU BESSI SCHOOL /MCSS ,2 ,"1,135 ",- ,-
30121 ,LOGAN TOWN ,ST MATHEW UNITED METHODIST  SCH ,3 ,"1,584 ",- ,-
*30120 ,LOGAN TOWN ,CENTRAL LOGAN TOWN (VICKIES SPOT),"","","",""
30122 ,LOGAN TOWN ,T.K. GEEPLAY SCHOOL ,3 ,"1,687 ",- ,-
*30123 ,LOGAN TOWN , TOYOTA GARAGE,"","","",""
30125 ,LOGAN TOWN ,ABEN INTERNATIONAL SCHOOL ,3 ,"1,683 ",- ,-
*30124 ,LOGAN TOWN ,TEQUAH ROAD,"","","",""
30126 ,LOGAN TOWN ,SAMUEL T. KUN MEMORIAL SCH ,3 ,"1,242 ",- ,-
30127 ,LOGAN TOWN ,SAMUEL T. KUN MEMORIAL SCH ,3 ,"1,314 ",- ,-
30128 ,LOGAN TOWN ,DONALD M KARNS WESLEYAN ,3 ,"1,632 ",- ,-
