30001 ,ROYESVILLE ,ROYESVILLE PUBLIC SCHOOL ,1 ,387 ,- ,-
30002 ,ROYESVILLE ,BLAHN REG CENTER ,1 ,250 ,- ,-
30003 ,CHEESEMUNBURG ,C/BURG ELE /JR HIGH SCHOOL ,1 ,144 ,- ,-
30004 ,VIRGINIA ,GBONDOI PUBLIC SCHOOL ,1 ,479 ,- ,-
30005 ,VIRGINIA ,MEMEH TOWN PALAVA HUT ,1 ,212 ,- ,-
30006 ,VIRGINIA ,CHEESEMEN HALL ,1 ,357 ,- ,-
30007 ,VIRGINIA ,SARAH BARCLAY SR HIGH SC ,4 ,"1,818 ",- ,-
30008 ,VIRGINIA ,VIRGINIA CHRISITIAN ACADEMY SCH ,2 ,979 ,- ,-
30009 ,VIRGINIA ,BANJOR PUBLIC ELE /JR HIGH SC ,4 ,"2,128 ",- ,-
30010 ,VIRGINIA ,RED HILL COMMUNITY ,3 ,"1,394 ",- ,-
30011 ,BREWERSVILLE ,BILLY TOWN REGISTRATION CENTRE ,1 ,383 ,- ,-
30012 ,BREWERSVILLE ,KPAYKOR PUBLIC SCHOOL ,1 ,290 ,- ,-
30013 ,VIRGINIA ,ISAAC G TONDO PUBLIC SCH ,1 ,108 ,- ,-
30014 ,VIRGINIA ,KPALLAH COMMUNITY SCHOOL ,1 ,214 ,- ,-
30015 ,BREWERSVILLE ,AG BIBLE SCHOOL ,2 ,841 ,- ,-
30016 ,BREWERSVILLE ,TRIUMP CHURCH MISSION SCHOOL ,3 ,"1,415 ",- ,-
30017 ,BREWERSVILLE ,SECURITY BUILDING ,4 ,"1,810 ",- ,-
30018 ,CLAY ASHLAND ,PALAVE HUT ,2 ,761 ,- ,-
30019 ,CLAY ASHLAND ,VIRGINA PUBLIC SCHOOL ,2 ,706 ,- ,-
30020 ,CLAY ASHLAND ,WD COLEMAN HIGH S CHOOL ,1 ,534 ,- ,-
30021 ,MILLS BURG ,MILLS BURG COMMUNITY CENTER ,1 ,166 ,- ,-
30022 ,MILLS BURG ,COMMUNITY CENTER ,1 ,270 ,- ,-
30023 ,ARTHINGTON ,PALAVA  HUT ,1 ,527 ,- ,-
30024 ,ARTHINGTON ,VICTORY CHAPEL SCHOOL ,1 ,277 ,- ,-
30025 ,ARTHINGTON ,JALLABA REG CENTER ,2 ,758 ,- ,-
30026 ,CALDWELL ,MARANATHA BAPTIST SCHOOL ,4 ,"2,053 ",- ,-
30027 ,CALDWELL ,ANGELINE W . ALLLISON  ,3 ,"1,577 ",- ,-
30028 ,CALDWELL ,SIMS COMMUNITY SCHOOL ,3 ,"1,654 ",- ,-
30029 ,CALDWELL ,ELIZBETH TUBMAN MEMORIAL INST ,2 ,"1,081 ",1 ,25
*30194 ,CALDWELL ,SAMUKHAI CAMP,"","","",""
30030 ,DIXVILLE ,DIXVILLE PUBLIC SCHOOL ,1 ,382 ,- ,-
30031 ,DIXVILLE ,DIXVILLE CATHOLIC SCHOOL ,1 ,209 ,- ,-
30032 ,LOUSIANNA ,JWA RICHARDS SCHOOL ,2 ,618 ,- ,-
30170 ,"IDP CAMPS, BREWERSVI ",DISTRIBUTION CENTER ,1 ,253 ,1 ,331
30171,V  I RGI N  I A,NRC SCHOOL,1 ,236 ,2 ,778
30173 ,"IDP CAMPS, BREWERSVI ",PALAVA  HUT ,1 ,456 ,3 ,"1,775"
*30172 ,"IDP CAMPS, BREWERSVIL ",WILSON CAMP,"","","",""
30175 ,"IDP CAMPS, BREWERSVI ",CHILD FRENDLY SPACE ,2 ,770 ,3 ,"1,358"
*30174 ,"IDP CAMPS, BREWERSVIL ",WILSON CAMP,"","","",""
30179 ,"IDP CAMPS, BREWERSVI ",DISTRIBUTION CENTER ,2 ,654 ,4 ,"1,986"
*30176 ,"IDP CAMPS, BREWERSVIL ",JARTONER CAMP,"","","",""
*30177 ,"IDP CAMPS, BREWERSVIL ",JARTONER CAMP,"","","",""
*30178 ,"IDP CAMPS, BREWERSVIL ",JARTONER CAMP,"","","",""
30180 ,"IDP CAMPS, BREWERSVI ",DISTRIBUTION CENTER ,1 ,396 ,3 ,"1,217"
*30181 ,"IDP CAMPS, BREWERSVIL ",BLAMASEE CAMP,"","","",""
30182 ,"IDP CAMPS, BREWERSVI ",DISTRIBUTION CENTER ,2 ,730 ,2 ,"1,027"
*30183 ,"IDP CAMPS, BREWERSVIL ",PLUMKOR,"","","",""
30184 ,"IDP CAMPS, BREWERSVI ",CHILD FRENDLY SPACE ,1 ,77 ,2 ,830
*30186 ,"IDP CAMPS, BREWERSVIL ",SWEGBEH,"","","",""
30185 ,"IDP CAMPS, BREWERSVI ",N R C SCHOOL ,1 ,216 ,2 ,983
