15001 ,TOE TOWN ,TOE TOWN PUBLIC SCHOOL ,4 ,"2,084 ",- ,-
15002 ,SENNIWEN TOWN ,SENNIWEN TOWN PUBLIC SCHOOL ,1 ,414 ,- ,-
15003 ,DUOGEE TOWN ,DUOGEE TOWN PUBLIC SCHOOL ,2 ,713 ,- ,-
15004 ,ZLEH TOWN ,ZLEH TOWN PUBLIC SCHOOL ,2 ,"1,066 ",- ,-
15005 ,GAYE TOWN ,GAYE TOWN PUBLIC SCHOOL ,1 ,372 ,- ,-
15006 ,POUH TOWN ,POUH TOWN PUBLIC SCHOOL ,2 ,606 ,- ,-
15007 ,POLAR TOWN ,POLAR TOWN PUBLIC SCHOOL ,2 ,669 ,- ,-
15008 ,JARWODEE TOWN ,JARWODEE PUBLIC SCHOOL ,2 ,643 ,- ,-
15009 ,GBARKEH TOWN ,GBARKEH TOWN PALAVA HUT ,1 ,526 ,- ,-
15010 ,CHAYEE TOWN ,CHAYEE TOWN PALAVA HUT ,1 ,338 ,- ,-
15011 ,GBO-GEWON TOWN ,GBO-GEWON TOWN PALAVA HUT ,1 ,541 ,- ,-
15012 ,ZIA TOWN ,ZIA TOWN PUBLIC SCHOOL ,2 ,"1,069 ",- ,-
15013 ,BARGBOLOR TOWN ,BARGOBLOR PUBLIC SCHOOL ,2 ,724 ,- ,-
15014 ,TUZON TOWN ,TUZON TOWN PUBLIC SCHOOL ,2 ,754 ,- ,-
