12013 ,THAN TOWN ,THAN PUBLIC SCHOOL ,2 ,988 ,- ,-
12014 ,VARGUEY TOWN ,VARGUEY PUBLIC SCHOOL ,1 ,335 ,- ,-
12015 ,LEEZUE TOWN ,BOMI WOOD JUNCTION ,1 ,150 ,- ,-
12016 ,MANA GORDUA TOWN ,MANA GORDUA TOWN HALL ,1 ,509 ,- ,-
12017 ,LOFA BRIDGE ,LOFA BRIDGE COMMUNITY SCHOOL ,3 ,"1,471 ",- ,-
12018 ,MACCA TOWN ,MACCA TOWN HALL ,3 ,"1,390 ",- ,-
12019 ,BEH GONDOR TOWN ,BEH GONDOR PUBLIC SCHOOL ,2 ,785 ,- ,-
12020 ,JENNE MANA ,JENNA MANA PUBLIC SCHOOL ,1 ,415 ,- ,-
12021 ,GBELLEH MAKPAYE TOW ,GBELLEH  MAKPAYE TOWN HALL ,1 ,193 ,- ,-
12022 ,WEAJUE TOWN ,WEAJUE PUBLIC SCHOOL ,1 ,557 ,- ,-
12023 ,MARBON DORLEY ,MARBON DORLEY PUBLIC SCHOOL ,1 ,410 ,- ,-
12024 ,LARJOR TOWN ,LARJOR TOWN HALL ,1 ,170 ,- ,-
12033 ,KONGO TOWN ,KONGO PUBLIC SCHOOL ,1 ,442 ,- ,-
12034 ,DAMALA TOWN ,DAMALA PUBLIC SCHOOL ,3 ,"1,597 ",- ,-
12035 ,JENJIN TOWN ,BAMBALLA PUBLIC SCHOOL ,3 ,"1,281 ",- ,-
12036 ,SO SO CAMP ,FULA CAMP TOWN HALL ,1 ,336 ,- ,-
12037 ,BOMBOR OLD TOWN ,BOMBOR TOWN HALL ,1 ,290 ,- ,-
12038 ,BENDUMA TOWN ,BENDUMA TOWN HALL ,1 ,261 ,- ,-
12039 ,KAWILAHUN TOWN ,KAWILAHUN PUBLIC SCHOOL ,1 ,403 ,- ,-
12040 ,BINDAJA ,BINDAJA PUBLIC SCHOOL ,2 ,"1,100 ",- ,-
12041 ,BOMBAR OLD TOWN ,"WASSAY TOWN HALL, GUASI TOWN ",2 ,722 ,- ,-
12042 ,GONOLO ,BUTTER HILL PUBLIC SCHOOL ,1 ,232 ,- ,-
12043 ,VARKIANWAYE ,VARKIANWAYE PUBLIC SCHOOL ,2 ,604 ,- ,-
