21078 ,NYANDEMORLAHUN ,NYANDEMORLAHUN TOWN HALL ,2 ,631 ,- ,-
21079 ,TAWALAHUN ,TAWALAHUN TOWN HALL ,1 ,190 ,- ,-
21080 ,HONEIHUM ,HONIEHUM TOWN HALL ,1 ,225 ,- ,-
21081 ,BALAHUN ,BALAHUN PUBLC SCHOOL ,1 ,301 ,- ,-
21082 ,TANINAHUM ,TANINAHUM PUBLIC SCHOOL ,1 ,404 ,- ,-
21083 ,KOLAHUN CITY ,KOLAHUN EL & JR HIGH SCHOOL ,3 ,"1,537 ",- ,-
21084 ,KOLAHUN CITY ,KOLAHUN EL & JR HIGH SCHOOL ,3 ,"1,342 ",- ,-
21085 ,NGORKORHUN ,NGORKHUN TOWN HALL ,1 ,307 ,- ,-
21086 ,KOLAHUN CITY ,KOLAHUN EL & JR HIGH SCHOOL ,3 ,"1,360 ",- ,-
21092 ,SAVALAHUN ,SAVALAHUN TOWN HALL ,1 ,167 ,- ,-
21107 ,KOWOHUN ,KOWOHUN PUBLIC SCHOOL ,1 ,100 ,- ,-
21108 ,SOMOLAHUN ,SOMOLAHUN TOWN HALL ,1 ,221 ,- ,-
21109 ,KAMATAHUN-TAHAM ,KAMATAHUN-TAHAM TOWN HALL ,1 ,333 ,- ,-
21110 ,KPORMBU ,KPORMBU TOWN HALL ,1 ,310 ,- ,-
21111 ,FOYA  LONDU ,FOYA LONDU TOWN HALL ,1 ,500 ,- ,-
21112 ,KONDEBENGO ,KONDEBENGO TOWN HALL ,1 ,414 ,- ,-
21113 ,FOYA CITY ,FOYA MARKET HALL ,8 ,"4,527 ",- ,-
21114 ,FOYA KAMARA ,FOYA TOWN HALL ,2 ,683 ,- ,-
21115 ,KPENGAMAI ,KPENGAMAI TOWN HALL ,1 ,273 ,- ,-
21116 ,SHELLOE ,TAMBA TAYLOR PUBLIC SCHOOL ,2 ,"1,124 ",- ,-
21117 ,MEDEKORMA ,MEDEKORMA TOWN HALL ,1 ,517 ,- ,-
21118 ,NDEMHUMA ,NDEMHUMA TOWN HALL ,1 ,375 ,- ,-
21119 ,SODU ,SODU TOWN HALL ,1 ,445 ,- ,-
21120 ,WORSONGA ,WORSONGA TOWN HALL ,1 ,588 ,- ,-
21121 ,KPONDODU ,KPONDODU TOWN HALL ,1 ,391 ,- ,-
21122 ,SOLOMBA ,SOLOMBA PUBLIC SCHOOL ,2 ,797 ,- ,-
21123 ,TAMALO TOWN ,TAMALO TOWN ,1 ,225 ,- ,-
21124 ,BORLILOE ,BORLILOE TOWN HALL ,1 ,501 ,- ,-
21125 ,PORLUMA ,PORLUMA TOWN HALL ,2 ,857 ,- ,-
21126 ,SADU ,SADU PUBLIC SCHOOL ,1 ,176 ,- ,-
21127 ,KABLAMA ,KABLAMATOWN HALL ,1 ,147 ,- ,-
21128 ,MAMBO ,MAMBO TOWN HALL ,1 ,527 ,- ,-
21129 ,LENGBAMA ,LENGBAMA TOWN HALL ,1 ,592 ,- ,-
21130 ,FOYA CUSTOMS ,FOYA CUSTOM  TOWN HALL ,2 ,603 ,- ,-
