27039 ,PLEEBO CITY HALL ,PLEEBO I ,5 ,"2,665 ",- ,-
27040 ,PLEEBO HIGH SCHOOL ,PLEEBO II ,5 ,"2,414 ",- ,-
27041 ,GRAND PUBLIC SCHOOL ,PLEEBO III ,3 ,"1,479 ",- ,-
27043 ,GEEBIO TOWN ,GEEBIO ,2 ,675 ,- ,-
27044 ,GEDETARBO TOWN ,GEDETARBO ,2 ,786 ,- ,-
27045 ,CRC RUBBER PLANTATIO ,CRC ELEMENTARY SCHOOL ,1 ,460 ,- ,-
27046 ,NEMEKE ,NEMEKE TOWN HALL ,1 ,340 ,- ,-
27047 ,DAEKE TOWN ,DAEKE TOWN HALL ,1 ,360 ,- ,-
27048 ,CRC RUBBER PLANTATIO ,CRC KINDERGARTEN ,1 ,542 ,- ,-
27049 ,SEDEKE ,SEDEKE TOWN HALL ,1 ,403 ,- ,-
27050 ,COMMUNITY CENTER ,OLD SODOKEN ,1 ,426 ,- ,-
27051 ,GBOLOLU TOWN HALL ,GBOLOLU ,1 ,336 ,- ,-
27052 ,GBEAWEIN ,GBEAWEIN ELEMENTARY SCHOOL ,1 ,205 ,- ,-
27053 ,GOLOBO ,GOLOBO ELEMENTARY SCHOOL ,2 ,974 ,- ,-
27054 ,GBLOKE ,GBLOKE ELEMENTARY SCHOOL ,1 ,418 ,- ,-
27055 ,BARAKE ,BARAKE ELEMENTARY SCHOOL ,2 ,770 ,- ,-
27056 ,GBEKE ,GBEKE TOWN HALL ,1 ,53 ,- ,-
27057 ,JEDEBIAKEN ,JEDEBIAKEN COMMUNITY SCHOOL ,1 ,422 ,- ,-
27058 ,GOLOBO ,GOLOBO ELEMENTARY SCHOOL ,1 ,206 ,- ,-
27059 ,WETCHUKEN ,WETCHUKEN ELEMENTARY SCHOOL ,1 ,390 ,- ,-
