30129 ,JAMIAICA RD. COMM ,BOATSWIN JR HIGH SCH ,5 ,"2,423 ",- ,-
30130 ,JAMIAICA RD. COMM ,TRUMPET OF FAITH BAPTIST SCHOOL ,3 ,"1,406 ",- ,-
30131 ,JAMIAICA RD. COMM ,ISAAC G MACAULY SCHOOL ,3 ,"1,514 ",- ,-
*30132 ,JAMIAICA RD. COMM ,"ZINC CAMP, JAMAICA ROAD","","","",""
30133 ,COW FACTORY ,MAC FOUNDATION SCHOOL ,3 ,"1,608 ",- ,-
30134 ,SKD COMMUNITY ,SKD COMM ELEM JR SCHOOL ,4 ,"1,881 ",- ,-
30135 ,SKD COMMUNITY ,SKD COMM ELEM JR SCHOOL ,4 ,"1,870 ",- ,-
30136 ,LOGAN TOWN ,LPMC WAREHOUSE ,5 ,"2,474 ",- ,-
30137 ,LOGAN TOWN ,LPMC WAREHOUSE ,5 ,"2,427 ",- ,-
30139 ,CLARA TOWN ,FANIMA ISLAMIC SCHOOL ,5 ,"2,756 ",- ,-
*30138 ,CLARA TOWN ,CENTRAL CLARA TOWN,"","","",""
30140 ,CLARA TOWN ,JAMES DOE YOUNG SN. SCH ,4 ,"2,071 ",- ,-
30142 ,CLARA TOWN ,CLARA TOWN CENTRAL JR HIGH SCH ,5 ,"2,899 ",- ,-
*30141 ,CLARA TOWN ,CLARA TOWN,"","","",""
30143 ,CLARA TOWN ,TOWN HALL ,4 ,"1,809 ",- ,-
30144 ,CLARA TOWN ,TOWN HALL ,3 ,"1,700 ",- ,-
30145 ,CLARA TOWN ,MARVI SONU ELE/JR HIGH SCHOOL ,3 ,"1,421 ",- ,-
30146 ,VAI TOWN ,SAVACO COMMUNITY SCH ,4 ,"2,084 ",- ,-
30147 ,VAI TOWN ,IMAM ABDULLAH TUNIS ISLAMIC SCH ,3 ,"1,712 ",- ,-
30148 ,VAI TOWN ,TIMOSA ACADEMY ,5 ,"2,759 ",- ,-
*30149 ,VAI TOWN ,FREE PORT ,"","","",""
