33001 ,DUAYEE ,DUAYEE PALAVA HUT ,3 ,"1,632 ",- ,-
33002 ,GARWANPA ,GARWANPA PALAVA HUT ,2 ,870 ,- ,-
33003 ,GUAHNWEIN ,GUAHNWEIN PALAVA HUT ,1 ,379 ,- ,-
33011 ,BAHNLA ,BAHNLA PALAVA HUT ,2 ,823 ,- ,-
33012 ,ZAHNBOIE ,ZAHNBOIE PALAVA HUT ,2 ,626 ,- ,-
33013 ,DUO ,DUO PALAVA HUT ,2 ,"1,138 ",- ,-
33014 ,BAINAKPLELA ,BAINAKPLELA PALAVA HUT ,2 ,862 ,- ,-
33015 ,ZAO ,ZAO PALAVA HUT ,2 ,990 ,- ,-
33016 ,BUNADIN ,BUNADIN PUBLIC SCHOOL ,3 ,"1,478 ",- ,-
33017 ,SOKOPA ,SOKOPA PALAVA HUT ,1 ,339 ,- ,-
33018 ,KPEIN ,KPEIN PALAVA HUT ,3 ,"1,667 ",- ,-
33019 ,VENPA ,VENPA PUBLIC SCHOOL ,2 ,"1,165 ",- ,-
33020 ,BAIPA ,BAIPA PUBLIC SCHOOL ,3 ,"1,430 ",- ,-
33026 ,KARNWEE ,KARNWEE PALAVA HUT ,3 ,"1,469 ",- ,-
33027 ,KPALLAH ,KPALLAH PALAVA HUT ,3 ,"1,636 ",- ,-
33028 ,BURTEIN ,BURTEIN PALAVA HUT ,2 ,707 ,- ,-
33060 ,MEHNLA TOWN ,MEHNLA TOWN PALAVA HUT ,2 ,990 ,- ,-
33061 ,GARNWEE TOWN ,GARNWEE TOWN PALAVA HUT ,2 ,789 ,- ,-
33062 ,GLEH ZORPEA ,GHELYEE ZORPEA PALAVA HUT ,2 ,944 ,- ,-
33063 ,GUOTEIN ,GUOTEIN PALAVA HUT ,2 ,832 ,- ,-
33064 ,KARYEE ,KARYEE PALAVA HUT ,2 ,633 ,- ,-
33065 ,KPOWEIN ,KPOWEIN PALAVA HUT ,2 ,645 ,- ,-
33066 ,ZEKEPA ,ZEKEPA PALAVA HUT ,2 ,978 ,- ,-
33067 ,GLEHDURGARPA ,GLEHDURGARPA PALAVA HUT ,1 ,528 ,- ,-
33068 ,DAHNOPA ,DAHUPA PALAVA HUT ,2 ,719 ,- ,-
33069 ,ZAHUZAYEE ,ZAHUZAYEE PALAVA HUT ,2 ,968 ,- ,-
33070 ,BOYEE ,BOYEE PALAVA HUT ,1 ,558 ,- ,-
33071 ,GOEKORPA ,GOEKORPA PALAVA HUT ,1 ,421 ,- ,-
33072 ,KWENDIN ,KWENDIN PALAVA HUT ,2 ,"1,087 ",- ,-
