45013 ,GBARMA ,CENTRAL HIGH SCHOOL GBARMA TOWN ,3 ,"1,692 ",- ,-
45014 ,WEAMAWUO ,"PRIMARY SCHOOL,WEAMAWUO TOWN ",2 ,606 ,- ,-
45015 ,YANGAYAH ,"JUNIOR HIGH SCHOOL,YANGAYAH TOWN ",1 ,468 ,- ,-
45016 ,TARKPOIMA ,"TOWN HALL, TARKPOIMA TOWN ",2 ,609 ,- ,-
45017 ,WEASUA ,"JUNIOR HIGH SCHOOL, WEASUA TOWN ",2 ,613 ,- ,-
45018 ,BALLA ,"JUNIOR HIGH SCHOOL,BALLA TOWN ",1 ,148 ,- ,-
45024 ,KANGBOR ,"TOWN HALL, KONGBA TOWN ",1 ,456 ,- ,-
45025 ,CAMP ALPHA ,"PRIMARY SCHOOL,CAMP ALPHA ",1 ,267 ,- ,-
45026 ,TIMA VILLAGE ,"PRIVATE HOUSE,TIMA VILLAGE ",1 ,182 ,- ,-
45027 ,AMTEL CAMP ,AMTEL CAMP OFFICE ,1 ,231 ,- ,-
45028 ,ZUEI ,"TOWN HALL, ZUEI TOWN ",1 ,465 ,- ,-
45029 ,MBARMA ,"TOWN HALL, MBARMA TOWN ",1 ,143 ,- ,-
45030 ,NOMODATUNDU ,"TOWN HALL, NOMODATUNDU,TOWN ",2 ,"1,019 ",- ,-
45031 ,DOMAMANA ,"TOWN HALL, DOMAMANA,TOWN ",1 ,217 ,- ,-
45032 ,BEADEN ,"TOWN HALL,BEADENTOWN ",1 ,231 ,- ,-
