24035 ,BWI AREA ,DINING HALL ,3 ,"1,583 ",- ,-
24036 ,MANDINGO QUARTER ,EVENING STAR BAPTIST SCHOOL ,3 ,"1,589 ",- ,-
24037 ,BUZI & FROG ISLAND ,E.J. YANCY SCHOOL ,2 ,"1,101 ",- ,-
24038 ,CENTRAL KAKATA 1 ,FEDERATION OF  TRANSPORT UNION ,3 ,"1,532 ",- ,-
24039 ,CENTRAL KAKATA 2 ,GENUINE TRANSPORT UNION ,3 ,"1,649 ",- ,-
24040 ,14 ROAD & MATRALE CO ,KAKATA COMMUNITY COLLEGE ,3 ,"1,264 ",- ,-
24041 ,LANGO TOWN ,ST PAUL LUTHERAN SCHOOL ,4 ,"1,991 ",- ,-
24042 ,BASSA COMMUNITY ,LIPPY HIGH SCHOOL ,2 ,"1,141 ",- ,-
24043 ,GBANDI & KISSI ,CALVARY BAPTIST SCHOOL ,2 ,791 ,- ,-
24044 ,VAI TOWN ,ANSARU ISLAMIC SCHOOL ,2 ,782 ,- ,-
24045 ,SUGAR HILL 1 ,JOHN JOSEPH SCHOOL ,2 ,"1,086 ",- ,-
24046 ,SUGAR HILL 2 ,FREE PENTECOSTAL SCHOOL ,2 ,902 ,- ,-
24047 ,BORLORA JUNCTION ,NEW ADMINISTRATION BUILDING ,3 ,"1,420 ",- ,-
24048 ,26 GAYE COMMUNITY ,BRIGHT FARM SCHOOL ,2 ,793 ,- ,-
24049 ,BONG MINES ROAD ,CONQUERORS PENTECOSTAL SCHOOL ,2 ,"1,149 ",- ,-
24050 ,NEW KAKATA 1 ,DOMINQUE HINNAH JUNIOR SCHOOL ,2 ,704 ,- ,-
24051 ,NEW KAKATA 2 ,BETHEL FOUNDATION ACADEMY ,2 ,616 ,- ,-
24105 ,DIVISION 24 CAMP ,DIVISION 24 OFFICE ,1 ,576 ,- ,-
24106 ,DIVISION 24 CAMP ,DIVISION 25 OFFICE ,1 ,274 ,- ,-
24107 ,DIVISION 24 CAMP ,DIVISION  26 OFFICE ,1 ,341 ,- ,-
24108 ,DIVISION 27 CAMP ,DIVISION 27 OLD CAMP ,1 ,496 ,- ,-
24109 ,DIVISION 27 CAMP ,DIVISION 28 SCHOOL ,1 ,276 ,- ,-
24112 ,DIVISION 30 CAMP ,DIVISION 30 OFFICE ,3 ,"1,611 ",- ,-
24113 ,DIVISION 33 CAMP ,DIVISION 33 SCHOOL ,1 ,346 ,- ,-
24114 ,DIVISION 33 CAMP ,DIVISION 34 OFFICE ,1 ,283 ,- ,-
24115 ,DIVISION 35 CAMP ,DIVISION 35 OFFICE ,1 ,243 ,- ,-
