33594 ,ZOR LEPULA ,LEPULA PUBLIC SCH ,2 ,668 ,- ,-
33595 ,ZOR TAPPA ,ZOR TAPPA PUBLIC SCH ,1 ,373 ,- ,-
33596 ,ZUALAY ,ZUALAY PUBLIC SCHOOL ,2 ,730 ,- ,-
33597 ,DULAY ,DULAY PUBLIC SCHOOL ,1 ,433 ,- ,-
33598 ,GOAGORTUO ,GOAGORTUO PUBLIC SCH ,2 ,708 ,- ,-
33599 ,YEAPLAY ,YEAPLAY PALAVA HUT ,1 ,376 ,- ,-
33600 ,SARKORLAY ,SARKORLAY PUBLIC SCH ,1 ,493 ,- ,-
33601 ,YOUNLAY ,YOUNLAY PUBLIC SCH ,2 ,846 ,- ,-
33602 ,LARPEA # 1 ,LARPEA # 1 PUBLIC SCH ,2 ,"1,012 ",- ,-
33603 ,LARPEA # 2 ,LARPEA # 2 PUBLIC SCH ,2 ,"1,033 ",- ,-
33604 ,CUSTOM ,CUSTOM PUBLIC SCH. ,3 ,"1,230 ",- ,-
33605 ,KENLAY ,KENLAY PUBLIC SCH ,2 ,"1,078 ",- ,-
33608 ,GEANPLAY ,PALAVA HUT ,2 ,872 ,- ,-
33609 ,MAH-DIAPAY ,MAH DISPLAY PUBLIC SCHOOL ,2 ,891 ,- ,-
33610 ,BEHPLAY ,BEHPLAY PUBLIC SCH ,2 ,998 ,- ,-
33611 ,MAMBOR ,MAMBOR PUBLIC SCHOOL ,2 ,717 ,- ,-
33612 ,KARNPLAY ,KARN HIGH SCH ,3 ,"1,485 ",- ,-
33613 ,KARNPLAY ,KARNPLAY MARKET ,4 ,"1,850 ",- ,-
33614 ,KARNPLAY ,CITY MAYOR’S OFFICE ,2 ,"1,036 ",- ,-
33615 ,GARPLAY ,GARPLAY PUBLIC SCHOOL ,4 ,"2,049 ",- ,-
33616 ,ZOR GOWEE ,GOWEE PUBLIC SCH ,2 ,"1,043 ",- ,-
33618 ,GBORPLAY ,GBORPLAY PUBLIC SCHOOL ,2 ,793 ,- ,-
33619 ,BEO YOLA ,YOLA PUBLIC SCHOOL ,2 ,916 ,- ,-
33620 ,BONGARPLAY ,BONGARPLAY PUBLIC SCHOOL ,3 ,"1,341 ",- ,-
33621 ,GANAGLAY ,GANAGLAY PUBLIC SCHOOL ,2 ,"1,101 ",- ,-
33622 ,BLEEMIEPLAY ,BLEEMIEPLAY PUBLIC SCHOOL ,2 ,"1,089 ",- ,-
33623 ,GBEIE VONWEA ,VONWEA OLD CLINIC ,2 ,"1,107 ",- ,-
