,,"COUNTY: BOMIELECTORAL DISTRICT: 1",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"General ","Returned ","Returned ",,
"Code ","Locality ","Address","Polling Voters Places ","IDP Polling ","IDPVoters",,
,,,,"Places **",,,
3042,"GBA JA KEH ","GBA COMMUNITY SCHOOL ","6 3,172 ","- ","-",,
3051,"GOVERNMENT FARM ","GOVERNMENT FARM PALAVA HUT ","1 292 ","- ","-",,
3054,"SASS TOWN ","SASS TOWN PUBLIC SCHOOL ","2 1,199 ","- ","-",,
3055,"MONNOH ","MONNOH TOWN PALAVA HUT ","1 392 ","- ","-",,
3056,"SOMBUNG ","SOMBUNG ","1 259 ","- ","-",,
3057,"GONJEH ","GONJEH PALAVA HUT ","1 380 ","- ","-",,
3058,"GBARNGBA TOWN ","GBARNGBA TOWN HALL ","1 314 ","- ","-",,
3059,"GONZIPO ","GONZIPO PALAVA HUT ","1 456 ","- ","-",,
3060,"MALEMA ","MALEMA TOWN HALL ","2 810 ","- ","-",,
3061,"KLAY ","GERTRUDE YANCY PUBLIC SCHOOL ","3 1,670 ","- ","-",,
3062,"MANAGBOKAI ","MANAGBOKAI PALAVA HUT ","1 166 ","- ","-",,
3063,"FEFE TOWN ","FEFE TOWN PALAVA HUT ","1 440 ","- ","-",,
3064,"GOHGEN ","GOHGEN PALAVA HUT ","1 420 ","- ","-",,
3065,"LOAH ","LOAH PALAVA HUT ","2 642 ","- ","-",,
3066,"KANGACIA ","KANGACIA PALAVA HUT ","1 134 ","- ","-",,
3067,"GUIE TOWN ","GUIE TOWN HALL ","2 684 ","- ","-",,
3068,"GOLODEE GAYLA ","GOLODEE GAYLA PALAVA HUT ","1 332 ","- ","-",,
3069,"ZORDEE ","UPC CAMPUS ","1 448 ","- ","-",,
3070,"GOLODEE LASANA ","GOLODEE LASANA PALAVA HUT ","2 728 ","- ","-",,
3071,"GEVEH FANCIEE ","GEVEH FANCIEE PALAVA HUT ","1 300 ","- ","-",,
3072,"BEAJOJO ","BEAJOJO CLINIC ","1 430 ","- ","-",,
,,"COUNTY: BOMIELECTORAL DISTRICT: 2",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"Polling General","Returned IDP","Returned ",,
"Code ","Locality ","Address ","Places Voters ","Polling ","IDPVoters",,
,,,,"Places **",,,
3010,"SUEHN ","SUEHN PALAVA HUT ","2 1,168 ","- ","-",,
3011,"KPAKPLA ","KPAKPLA  PALAVA HUT ","1 367 ","- ","-",,
3012,"GBOJAY ","GBOJAY  PALAVA HUT ","2 829 ","- ","-",,
3013,"SONODEE ","SONODEE TOWN HALL ","1 425 ","- ","-",,
3014,"GBAO ","GBAO  PALAVA HUT ","1 552 ","- ","-",,
3015,"MOILA ","MOILA TOWN HALL ","1 355 ","- ","-",,
3016,"MALOMA ","MALOMA PALAVA HUT ","1 164 ","- ","-",,
3017,"MULBAH ","MULBAH  PALAVA HUT ","1 316 ","- ","-",,
3018,"BIG GEVEH ","BIG GEVEH  PALAVA HUT ","1 223 ","- ","-",,
3019,"GBAI ","GBAI PALAVA HUT ","1 198 ","- ","-",,
3020,"GONGWEH ","GONGWEH PALAVA HUT ","1 139 ","- ","-",,
3021,"MECCA ","MECCA PALAVA HUT ","1 403 ","- ","-",,
3022,"ALASALA ","ALASALA PALAVA HUT ","1 376 ","- ","-",,
3023,"LEYHAN ","LEYHAN PALAVA HUT ","1 194 ","- ","-",,
3024,"TOLOKOR/TULEMU ","TOLOKOR/TULEMU PALAVA HUT ","1 313 ","- ","-",,
3025,"BONOR TOWN ","BONOR TOWN PALAVA HUT ","1 243 ","- ","-",,
3026,"ZOHNBAIMON ","ZOHNBAIMON  PALAVA HUT ","1 196 ","- ","-",,
3027,"WEAJOR ","WEAJOR TOWN HALL ","1 535 ","- ","-",,
3028,"BEH TOWN ","BEH TOWN TOWN HALL ","2 645 ","- ","-",,
3029,"GBAIGBON ","GBAIGBON TOWN HALL ","1 291 ","- ","-",,
3030,"VOTOR ","VOTOR TOWN HALL ","1 372 ","- ","-",,
3031,"DARGWE ","DARGWE TOWN HALL ","1 573 ","- ","-",,
3032,"GOIWEIN ","GOIWEIN PALAVA ","1 225 ","- ","-",,
3033,"TOMA TOWN 1 ","TOMA TOWN 1  PALAVA HUT ","1 289 ","- ","-",,
3034,"JENNE NO.1 ","JENNE NO.1 TOWN HALL ","2 860 ","- ","-",,
3035,"VINCENT TOWN ","VINCENT TOWN  PALAVA HUT ","1 456 ","- ","-",,
3036,"BOGBEH ","BOGBEH  PALAVA HUT ","1 461 ","- ","-",,
"*03038 ","CENTRAL ROYESVILLE ","CENTRAL ROYESVILLE",,,,,
3037,"BOWEIN ","BOWEIN  PALAVA HUT ","1 405 ","- ","-",,
3039,"QUENYONDEE ","QUENYONDEE TOWN HALL ","1 371 ","- ","-",,
3040,"NYANAHUN ","NYANAHUN PALAVA HUT ","1 114 ","- ","-",,
3041,"FOLLEY TOWN ","FOLLEY TOWN  PALAVA HUT ","1 219 ","- ","-",,
,,"COUNTY: BOMIELECTORAL DISTRICT: 3",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"Polling General","Returned ","Returned ",,
"Code ","Locality ","Address ","Places Voters","IDP Polling ","IDPVoters",,
,,,,"Places **",,,
3001,"TUBMANBURG ","BOMI JR. HIGH SCHOOL ","3 1,444 ","- ","-",,
3003,"TUBMANBURG ","COURT HOUSE ","5 2,559 ","- ","-",,
"*03005 ","TUBMANBURG ","NEW ROAD",,,,,
3004,"TUBMANBURG ","TBI ","3 1,224 ","- ","-",,
"*03007 ","TUBMANBURG ","HARMON HILL",,,,,
3006,"TUBMANBURG ","DARMALAH ","2 666 ","- ","-",,
3008,"TUBMANBURG ","GAS STATION ","3 1,520 ","- ","-",,
3009,"TUBMANBURG ","ST. DOMINIC SCHOOL ","2 1,078 ","- ","-",,
3043,"BE REEVES ","BE REEVES PALAVA HUT ","1 170 ","- ","-",,
3044,"BESAO ","BESAO COMMUNITY SCHOOL ","1 497 ","- ","-",,
3045,"COLEMAN HILL ","COLEMAN HILL PALAVA HUT ","1 428 ","- ","-",,
3046,"BEAJAH ","BEAJAH PALAVA HUT ","1 261 ","- ","-",,
3047,"BEAFINIE ","BEAFINIE TOWN HALL ","1 416 ","- ","-",,
3048,"GAYA HILLS ","GAYA HILLS COMMUNITY SCHOOL ","3 1,338 ","- ","-",,
3049,"ZARMEAYAN ","ZARMEAYAN PALAVA HUT ","1 124 ","- ","-",,
3050,"BOLA TOWN ","BOLA TOWN PALAVA HUT ","1 279 ","- ","-",,
3052,"YOMO TOWN ","YOMO TOWN PALAVA HUT ","1 161 ","- ","-",,
3053,"BAMO ","BAMO PALAVA HUT ","1 416 ","- ","-",,
,,"COUNTY: BONGELECTORAL DISTRICT: 1",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"General ","Returned ","Returned ",,
"Code ","Locality ","Address","Polling Voters Places ","IDP Polling ","IDPVoters",,
,,,,"Places **",,,
6029,"KAYATA TOWN ","KAYATA SDA CHURCH ","2 1,158 ","- ","-",,
6030,"RAYMUND TOWN ","RAYMUND TOWN LUTHERAN CHURCH ","1 551 ","- ","-",,
6031,"GOKAI ","GOKAI PUBLIC SCHOOL ","2 917 ","- ","-",,
6032,"GANLAH TOWN ","GBARNLA TOWN ","2 679 ","- ","-",,
6036,"KANKALAN TOWN ","KANKALAN PALAVA HUT ","1 538 ","- ","-",,
6037,"ZULU HILLS ","ZULU HILL PALAVA HUT ","1 512 ","- ","-",,
6038,"HAINDII ","HAINDII PALAVA HUT ","3 1,460 ","- ","-",,
6039,"BOUDUALA ","BOUDUALA PALAVA HUT ","1 455 ","- ","-",,
6040,"POPOTA TA ","POPOTA TA PALAVA HUT ","2 970 ","- ","-",,
6041,"NEIPOKORKOLI-TA ","NEIPOKORKOLI-TA PALAVA HUT ","2 986 ","- ","-",,
6042,"BONG TOWN ","BONG MINE RECREATIONAL HALL ","5 2,914 ","- ","-",,
6043,"DEGAI ","DEGAI PALAVA HUT ","1 583 ","- ","-",,
6044,"MONOKPAN ","MONOKPAN PALAVA HUT ","1 136 ","- ","-",,
6045,"SANOYEA ","LUTHERAN ELEM. SCHOOL BUILDING ","5 2,696 ","- ","-",,
6046,"KELEPEI ","KELEPEI PALAVA HUT ","2 997 ","- ","-",,
6047,"WINNIE TA ","WINNIE TA PALAVA ","1 439 ","- ","-",,
6048,"DARNENAMA ","DARNENAME PALAVA HUT ","1 428 ","- ","-",,
6049,"GBOGBOTA ","GBOGBOTA PALAVA HUT ","2 703 ","- ","-",,
6050,"GBARMOKOLLIETA ","GBARMOKOLLIETA PALAVA HUT ","2 1,021 ","- ","-",,
6051,"FOLOMENI ","FOLOMENI PALAVA HUT ","2 1,084 ","- ","-",,
6052,"GOU ","GOU PALAVA HUT ","2 754 ","- ","-",,
6053,"GBONOTA ","GBONOTA CLINIC ","2 1,093 ","- ","-",,
6054,"PIA-TA ","PIA-TA PALAVA HUT ","2 1,075 ","- ","-",,
6055,"KILINYALA ","KILINYALA PALAVA HUT ","1 599 ","- ","-",,
6056,"BORYORMAH ","BORYORMA PALAVA HUT ","2 735 ","- ","-",,
,,"COUNTY: BONGELECTORAL DISTRICT: 2",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"General ","Returned ","Returned ",,
"Code ","Locality ","Address","Polling Places Voters","IDP Polling ","IDPVoters",,
,,,,"Places **",,,
6023,"PALALA TOWN ","PALALA PALAVA HUT ","1 564 ","- ","-",,
6024,"ZEANSUE TOWN ","ZEANSUE PUBLIC SCHOOL ","4 1,871 ","- ","-",,
6025,"TARSEAI TOWN ","TARSEAI PALAVA TOWN ","1 326 ","- ","-",,
6026,"GARNEY ","GARNEY HUT ","1 417 ","- ","-",,
6027,"KOLILA ","KOLILA PUBLIC SCHOOL ","2 1,071 ","- ","-",,
6028,"GBONKONIMAH ","GBONKONIMAH HUT ","3 1,467 ","- ","-",,
6057,"SALALA ","MARTHA TUBMAN SCH BUILDING ","6 3,290 ","- ","-",,
6058,"KPAKOLOYA ","KPAKOLOYA PUBLIC SCHOOL ","3 1,374 ","- ","-",,
6059,"MAIMU ","MAIMU PUBLIC SCHOOL ","3 1,373 ","- ","-",,
6060,"SAWYEAPO ","WSAWYEAPO PALAVA HUT ","1 473 ","- ","-",,
