Code ,Locality ,Address ,Voters ,Places,""
6035 ,Gbaota Public School ,Gbaota ,1137 ,"",3
6036 ,Gbarmue Public School ,Gbarmue ,1065 ,"",3
6037 ,Gbarnay Palava Hut ,Gbarnay ,406 ,"",1
6038 ,Gbelekpalah Public School ,Gbelekpalah ,507 ,"",2
6068 ,Kayata SDA Church ,Kayata Town ,834 ,"",2
6069 ,Voloblai palava Hut ,Voloblai ,464 ,"",1
6074 ,Kpanyea Palava Hut ,Kpanyea ,859 ,"",2
6075 ,Jinnepeleta Public School ,Jinnepeleta Community ,926 ,"",2
6085 ,Melekei Palava Hut ,Melekei ,828 ,"",2
6121 ,Wainsue Public School ,Wainsue ,1322 ,"",3
6123 ,Wongbai Palava Hut ,Wongbai ,495 ,"",1
6150 ,Won-A-Nie School ,Gbarnga Barrack ,2625 ,"",6
6151 ,Gboveh High School ,Gboveh High Community ,2282 ,"",5
6152 ,John F. Barkalu School ,Gbarnga ,2911 ,"",6
6153 ,Gbarnga Sport Stadium ,Millionare Quanters ,2600 ,"",6
6155 ,Tubman Gary High School ,Methodist Compound ,3115 ,"",7
6156 ,Gbarnga Sunday Market ,Gbarnga Sunday Market ,3315 ,"",7
