Voting ,"","","","",General 
Precinct ,COUNTY :NIMBA ,"",ELECTORAL DISTRICT : 4 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
33006 ,Baylehglay Public School ,"",Baylehglay ,1475 ,3
33010 ,Behplay Public School ,"",Behplay ,859 ,2
33019 ,Bongarplay Public School ,"",Bongarplay ,1688 ,4
33026 ,Dehvon Public School ,"",Dehvon ,524 ,2
33033 ,Yoolar Public School ,"",Sroh - Yoolar ,1110 ,3
33042 ,Garplay Public School ,"",Garplay ,1694 ,4
33054 ,Gbei Bonnah Public School ,"",Gbei Bonnah ,982 ,2
33055 ,Gbei Vonwea Old Clinic ,"",Gbei Vonwea ,1461 ,3
33059 ,Gblanlay Public School ,"",Gblanlay ,767 ,2
33065 ,Gbonwea (Old Town) Public School ,"",Gbonwea (Old Town) ,1002 ,3
33067 ,Beo-Yoolar Public School ,"",Beo-Yoolar ,958 ,2
33068 ,Gborplay Public School ,"",Gborplay ,406 ,1
33102 ,Lowlay Public School ,"",Lowlay ,680 ,2
33104 ,Korsein Public School ,"",Korsein ,1022 ,3
33105 ,Kpaglay Public School ,"",Kpaglay ,653 ,2
33106 ,Kpair High School ,"",Kpairplay ,1091 ,3
33119 ,Ghanaglay Public School ,"",Ghanaglay ,1186 ,3
33122 ,Mahdiaplay Public School ,"",Mahdiaplay #1 ,1013 ,3
33142 ,Payee Palava Hut ,"",Payee ,690 ,2
33143 ,Rlantuo Public School ,"",Rlantuo ,599 ,2
33144 ,Rlekporlay Public School ,"",Rlekporlay ,835 ,2
33157 ,Senlay Public School ,"",Senlay ,1138 ,3
33158 ,Siaplay Old Town Public School ,"",Siaplay Old Town ,882 ,2
33177 ,Vayenglay Public School ,"",Vayenglay ,1200 ,3
33179 ,Wehplay Public School ,"",Wehplay ,1151 ,3
33213 ,Zuoplay Public School ,"",Zuoplay ,1437 ,3
