Voting ,"","","","",General 
Precinct ,COUNTY :NIMBA ,"",ELECTORAL DISTRICT : 3 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
33012 ,Beintonwin Public School ,"",Beintonwin ,742 ,2
33021 ,Bonla Public School ,"",Bonla ,699 ,2
33035 ,Duoplay Public School ,"",Duoplay ,1946 ,4
33047 ,Gbapa Public School ,"",Gbapa ,1394 ,3
33057 ,Gbeleyee Public School ,"",Gbeleyee ,703 ,2
33064 ,Gbondin Public School ,"",Gbondin ,1094 ,3
33091 ,Guagortuo Public School ,"",Guagortuo ,1501 ,4
33097 ,Karnplay City Mayor Office ,"",Karnplay ,1012 ,3
33098 ,Karn High School ,"",Karnplay ,1285 ,3
33099 ,Karnplay Market ,"",Karnplay ,2125 ,5
33103 ,Kenlay # 1 Public School ,"",Kenlay # 1 ,598 ,2
33116 ,Larpea # 1 Public School ,"",Larpea # 1 ,1151 ,3
33118 ,Manbor Public School ,"",Manbor ,1050 ,3
33121 ,Lugbeyee Public School ,"",Lugbeyee ,1088 ,3
33133 ,Old Yekepa LASS High School ,"",Old Yekepa ,864 ,2
33134 ,Old Yekepa VTC ,"",Old Yekepa ,663 ,2
33135 ,Old Yekepa Area P Market ,"",Old Yekepa ,1403 ,3
33136 ,New Yekepa Public School ,"",New Yekepa ,764 ,2
33137 ,Earl Williams High School ,"",Old Yekepa ,1000 ,3
33164 ,Randy Godfray Jr. High School ,"",Camp 4 ,532 ,2
33187 ,Yeaplay Pub. School ,"",Yeaplay ,801 ,2
33189 ,Younlay Public School ,"",Younlay ,1448 ,3
33194 ,Loguatuo Public School ,"",Loguatuo ,1308 ,3
33206 ,Zorgowee Public School ,"",Zorgowee ,1850 ,4
33207 ,Zualay Public School ,"",Zualay ,1174 ,3
