Voting ,"","","","",General 
Precinct ,COUNTY :RIVER CESS ,"",ELECTORAL DISTRICT : 1 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
36001 ,Bahn Town Palava Hut ,"",Bahn Town ,638 ,2
36002 ,Bannie Town Palava Hut ,"",Bannie Town ,396 ,1
36003 ,Gblor Church ,"",Gblor Town ,114 ,1
36004 ,Bluen Palava Hut ,"",Bluen Town ,439 ,1
36005 ,Bodowhea Palava Hut ,"",Bodowhea Toen ,1531 ,4
36006 ,Kangbo Town Church ,"",Kangbo Town ,715 ,2
36007 ,Suakon Dehbor Palava Hut ,"",Suakon Debbor ,359 ,1
36009 ,Neezoin School Building ,"",Neezoin Town ,904 ,2
36010 ,Garpue Palava Hut ,"",Garpue Town ,497 ,1
36014 ,Gbehwronkon Palava Hut ,"",Gbehwronkon ,410 ,1
36018 ,Zoryeah Palava Hut ,"",Zoryeah ,667 ,2
36020 ,Gleozohn Palava Hut ,"",Gleozohn ,570 ,2
36022 ,Gorgor Church ,"",Gorgor Town ,472 ,1
36023 ,Gozohn Church ,"",Gozohn Town ,669 ,2
36025 ,Bogeezay Town Hall ,"",Bogeezay Town ,1092 ,3
36027 ,Nagbo Town Palava Hut ,"",Nagbo ,782 ,2
36032 ,Saywheowor Town Church ,"",Saywheowor ,631 ,2
36035 ,Goezohn Palava Hut ,"",Goezohn ,988 ,2
36036 ,Yolo Palava Hut ,"",Yolo ,602 ,2
36037 ,Zammie Palava Hut ,"",Zammie ,1055 ,3
36038 ,Karchhukon palava Hut ,"",Karchhukon ,496 ,1
36039 ,Gborwuzohn Palava Hut ,"",Gborwuzohn ,957 ,2
36040 ,Boe Palava Hut ,"",Boe ,543 ,2
