Code ,Locality ,Address ,Voters ,Places,""
45002 ,Baloma Town Hall ,Baloma ,604 ,"",2
45008 ,Belleh Yallah Public School ,Belleh Yallah ,851 ,"",2
45011 ,FassamaTown Palava Hut ,Fassama ,1368 ,"",3
45012 ,Gatima Town Hall ,Gatima ,568 ,"",2
45015 ,Gbarkagborquoita Palava Hut ,Gbarkagborquoita Town ,577 ,"",2
45016 ,Gbarkorma School ,Gbarkorma ,159 ,"",1
45017 ,Fahnyapolu Town Hall ,Fahnyapolu ,451 ,"",1
45021 ,Gelekpasu School ,Gelekpasu ,428 ,"",1
45024 ,Palakwelle Palava Hut ,Palakwelle ,820 ,"",2
45025 ,Gungbe-ta School ,Gungbe-ta ,301 ,"",1
45028 ,Kelleh Town Hall ,Kelleh ,329 ,"",1
45029 ,Kpawolozu School ,Kpawolozu ,272 ,"",1
45030 ,Mavordor Palava Hut ,Mavordor ,492 ,"",1
45031 ,Kpayeakwelle Palava Hut ,Kpayeakwelle ,1113 ,"",3
45035 ,Moilakwelle School ,Moilakwelle ,864 ,"",2
45036 ,Belekpalumu Palava Hut ,Belekpalumu ,486 ,"",1
45042 ,Porkpa-Ta School ,Porkpa-ta ,659 ,"",2
45046 ,Gelengasiasu Town Hall ,Gelengasiasu ,418 ,"",1
45047 ,Kologbane Palava Hut ,Kologbane A ,973 ,"",2
45051 ,Tiggelee Town Hall ,Tiggelee ,296 ,"",1
45052 ,Kalata Town Hall ,Kalata ,507 ,"",2
45056 ,Zalakai School ,Zalakai ,636 ,"",2
45057 ,Nyailowai Town Hall ,Nyailowai ,654 ,"",2
45058 ,Boliah Town Hall ,Boliah ,353 ,"",1
