Voting ,"","","","",General 
Precinct ,COUNTY :SINOE ,"",ELECTORAL DISTRICT : 1 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
39001 ,Richard Kantah Jr. High School ,"",Bannah ,517 ,2
39005 ,Butaw Compound Administrative Buliding ,"",Butaw Compound ,345 ,1
39021 ,Kabada Adm. Building ,"",Kabada ,536 ,2
39023 ,Tubmanville Clinic ,"",Tubmanville Mission ,1134 ,3
39024 ,Deijilla Public school ,"",Dejila ,712 ,2
39025 ,Klaniadae Palava Hut ,"",Klaniadae ,315 ,1
39029 ,Grisby Farm Public School ,"",Grisby Farm ,762 ,2
39033 ,Menwah Palava Hut ,"",Memwah ,341 ,1
39040 ,Palotroken Palava Hut ,"",Palatroken ,807 ,2
39041 ,Wolee Jr. High School ,"",Panama ,600 ,2
39051 ,Blaoh Palava Hut ,"",Blaoh ,639 ,2
39057 ,Wessay Town Palava Hut ,"",Wessay Town ,248 ,1
39059 ,Sinoe Multilateral High School ,"",Farmersville ,1057 ,3
39060 ,Lexington Jr. High School ,"",Lexington ,454 ,1
39061 ,Lower Murrayville Elem. School ,"",Chea's Town ,425 ,1
39062 ,Greenville Administrative Building ,"",Down Town ,2143 ,5
39063 ,Seebeh Jr. High School ,"",Seebeh ,1533 ,4
39064 ,Harrison Grigsby Methodist High School ,"",Geeklor ,3211 ,7
