Voting ,"","","","",General 
Precinct ,COUNTY :NIMBA ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
33017 ,Boaplay Public School ,"",Boaplay ,586 ,2
33018 ,Duo Boe Public School ,"",Duo Boe ,584 ,2
33022 ,Borsonnoh Public School ,"",Borsonnoh ,1031 ,3
33028 ,Tondin Public School ,"",Tondin ,623 ,2
33029 ,Dingamon Public School ,"",Dingamon ,1571 ,4
33040 ,Zuluyee Public School ,"",Zuluyee ,666 ,2
33041 ,Gbedin Public School ,"",Gbedin Camp #3 ,1282 ,3
33052 ,Gbayee Public School ,"",Gbayee ,282 ,1
33053 ,Duo Gbeah Public School ,"",Duo Gbeah ,943 ,2
33056 ,Gbeinfeela Public School ,"",Gbeinfela ,422 ,1
33062 ,Gboa Gbalasonnoh Public School ,"",Gboa Gbalasonnoh ,968 ,2
33063 ,Davoryee Public School ,"",Davoryee ,734 ,2
33070 ,Gbeisella Public School ,"",Ganta ,903 ,2
33089 ,Kpayelepula Public School ,"",Kpayelepula ,742 ,2
33100 ,Tiapa Public School ,"",Tiapa ,665 ,2
33124 ,Mao Public School ,"",Mao ,754 ,2
33128 ,Mongbain Public School ,"",Mongbain ,950 ,2
33145 ,Martha Tubman Elementary School ,"",Sanniquellie ,1664 ,4
33146 ,Shirley Memorial High School ,"",Sanniquellie ,1012 ,3
33147 ,Dahnlorpa Community School ,"",Sanniquellie ,827 ,2
33148 ,Bunah Suah's Compound ,"",Sanniquellie ,2096 ,5
33149 ,St. Mary Elementary School ,"",Sanniquellie ,1598 ,4
33154 ,Sehyi Kmpa Public School ,"",Sehyi Kimpa ,1031 ,3
33155 ,Suakarzue Public School ,"",Suakarzue ,664 ,2
33156 ,Sopea Public School ,"",Sopea ,590 ,2
33167 ,Duo Tiayee Public School ,"",Duo Tiayee ,787 ,2
33169 ,Kitoma Public School ,"",Kitoma ,589 ,2
33182 ,Busie Public School ,"",Busie ,952 ,2
33183 ,Lehgain Public School ,"",Lehgain ,386 ,1
33185 ,Duo Gorton Public School ,"",Duo Gorton ,669 ,2
33203 ,Zolowee Public School ,"",Zolowee ,1088 ,3
33204 ,Sehyi-Geh Baptist Compound ,"",Sehyi-Geh ,718 ,2
