Voting ,"","","","",General 
Precinct ,COUNTY :BONG ,"",ELECTORAL DISTRICT : 4 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
6004 ,Belefanai Adm. Building ,"",Belefanai ,1845 ,4
6008 ,Bellemu Public School ,"",Bellemu ,1567 ,4
6015 ,Farvey Public School ,"",Farvey ,933 ,2
6018 ,Foequelleh Public School ,"",Foequelleh ,2445 ,5
6019 ,Gahnmue Public School ,"",Gahnmue ,1816 ,4
6031 ,Naama Public School ,"",Naama ,1228 ,3
6032 ,Gbansue Sulonmah Public School ,"",Gbansue Sulonmah ,1056 ,3
6033 ,Gbalatuah Public School ,"",Gbalatuah ,1444 ,3
6034 ,Feetuah Palava Hut ,"",Feetuah ,374 ,1
6039 ,Gbarnga Siaquelleh Public School ,"",Gbarnga Siaquelleh ,1517 ,4
6049 ,Gbonota Clinic ,"",Gbonota ,2259 ,5
6060 ,Gou Palava Hut ,"",Gou II ,672 ,2
6064 ,Paye -Ta Public School ,"",Paye -Ta ,573 ,2
6065 ,Jorwah Public school ,"",Jorwah ,912 ,2
6077 ,Laryea Public School ,"",Laryea ,566 ,2
6086 ,Shankpowai Palava Hut ,"",Shankpowai I ,733 ,2
6088 ,Nyansue Palava Hut ,"",Nyansue Two ,549 ,2
6092 ,Kollie-TaPalava Hut ,"",Kollie-ta ,710 ,2
6093 ,PeleleI Public School ,"",PeleleI ,656 ,2
6102 ,Shankpallai Public School ,"",Shankpallai ,1132 ,3
6129 ,Yowee Public School ,"",Yowee ,900 ,2
6130 ,Mbelequah Palava Hut ,"",Mbelequah ,599 ,2
