Voting ,"","","","",General 
Precinct ,COUNTY :BOMI ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
3010 ,Beh Town Hall ,"",Beh Town ,963 ,2
3011 ,Sass Town Public School ,"",Sass Town ,1564 ,4
3012 ,Barmon Palava Hut ,"",Barmon Town ,1327 ,3
3013 ,Golodee Gayla Town Hall ,"",Golodee Gayla Town ,970 ,2
3014 ,Gbargbah Palava Hut ,"",Gbargbah ,1090 ,3
3025 ,Gbaigbon Town Hall ,"",Gbaigbon ,474 ,1
3026 ,Goghen Palava Hut ,"",Gogehn ,631 ,2
3027 ,Jawajeh Palava Hut ,"",Jawajeh ,641 ,2
3028 ,Gohnzipo Town Hall ,"",Gohnzipo ,671 ,2
3029 ,Golodee Lassana Public School ,"",Golodee ,906 ,2
3031 ,Guie Town Hall ,"",Guie ,1014 ,3
3032 ,Managbokai Palava Hut ,"",Managbokai ,400 ,1
3033 ,Domagbamatina palava Hut ,"",Domagbamatina ,384 ,1
3035 ,FefehTown Public School ,"",FefehTown ,678 ,2
3036 ,Geveh Fahnsee Palava Hut ,"",Geveh Fahnsee ,256 ,1
3037 ,Kowadee Palava Hut ,"",Kowadee ,124 ,1
3039 ,Gbakendu Palava Hut ,"",Gbakendu ,191 ,1
3040 ,Malema Town Hall ,"",Malema ,1185 ,3
3041 ,Manjama Palava Hut ,"",Manjama ,243 ,1
3043 ,Klay Town Hall ,"",Klay Town ,2090 ,5
3044 ,Government Farm Klay Palava Hut ,"",Government Farm Klay ,458 ,1
3045 ,Vortor Town Palava Hut ,"",Vortor ,387 ,1
3048 ,Beajojo’s Clinic ,"",Beajojo’s Clinic ,637 ,2
3051 ,Zordee Palava Hut ,"",Zordee ,591 ,2
3052 ,Monnoh Town Hall ,"",Monnoh Town ,461 ,1
