Voting ,"","","","",General 
Precinct ,COUNTY :MONTSERRADO ,"",ELECTORAL DISTRICT : 7 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
30047 ,M.V. Massaquoi ,"",Central West Point ,1207 ,3
30048 ,M.V. Massaquoi ,"",Central West Point ,1346 ,3
30049 ,Our Lady Star of the Sea ,"",Central West Point ,443 ,1
30050 ,Our Lady Star of the Sea ,"",Central West Point ,488 ,1
30106 ,West Point Market ,"","Fish Town, West Point ",1514 ,4
30107 ,John Kofi Asmeh UMC ,"","Fish Town, West Point ",588 ,2
30142 ,West Point Administrative Building ,"",Grandcess Yard ,1217 ,3
30143 ,West Point Administrative Building ,"",Grandcess Yard ,1549 ,4
30257 ,West Point Catholic School ,"",Police Station/ West Point ,468 ,1
30258 ,West Point Catholic School ,"",Police Station/ West Point ,734 ,2
30262 ,Liberia Electricity Corporation Head Office ,"",Power Plant / West Point ,1908 ,4
30263 ,Liberia Electricity Corporation Head Office ,"",Power Plant / West Point ,2609 ,6
30368 ,Newport High School ,"",Randall - Newport Streets ,2299 ,5
30369 ,Newport High School ,"",Randall - Newport Streets ,1696 ,4
30370 ,Family Nursing Center ,"",Mamba Point ,1351 ,3
30371 ,Cathedral Catholic School ,"",Ashmun Street ,2552 ,6
30372 ,Cathedral Catholic School ,"",Ashmun Street ,2298 ,5
30373 ,Good Samaritan School ,"",Mamba Point ,730 ,2
30374 ,Godwin Prepartory School ,"",Manba Point ,1060 ,3
30375 ,National Housing Bank ,"",Water Side ,1638 ,4
30376 ,National Housing Bank ,"",Water Side ,1432 ,3
30421 ,A.G.M. High School ,"",Buchanan Street ,1406 ,3
30422 ,A.G.M. High School ,"",Buchanan Street ,1568 ,4
30423 ,Sports Commission ,"",Sports Commission ,500 ,1
30424 ,St. Samuel High School ,"",Center Street ,1287 ,3
30427 ,J.L. Gibson School ,"",Gurley Street ,1269 ,3
30428 ,J.L. Gibson School ,"",Gurley Street ,1266 ,3
30429 ,St. Theresa Convent ,"",Lynch/Center Streets ,822 ,2
30430 ,St. Theresa Convent ,"",Lynch/Center Streets ,653 ,2
30431 ,J.J. Ross High School ,"",Ashmun Street ,1480 ,3
