Voting ,"","","","",General 
Precinct ,COUNTY :MONTSERRADO ,ELECTORAL DISTRICT : 4 ,"","",Polling 
Code ,Locality ,Address ,Voters ,"",Places
30108 ,Christian Home Ministries Church Int'l ,Omega Tower Community ,"",1240 ,3
30109 ,Omega Community Christian Academy ,Omega Tower Red Hill Community ,"",815 ,2
30110 ,Brighter Day Perparatory School ,Soul Clinic Road ,"",1875 ,4
30111 ,Soul Clinic Mission/Maggie Lampkins Institute Soul Clinic Community ,"","",2158 ,5
30112 ,Soul Clinic Mission/Maggie Lampkins Institute Soul Clinic Community ,"","",2090 ,5
30113 ,Kingdom Foundation Institute ,Soul Clinic/Moses Blah Community ,"",1619 ,4
30114 ,St. Samuel Elem .& Jr. High School ,"Old Diamond Creek, Kemah Town ","",1595 ,4
30115 ,S. Patrick Jallah School ,"Old Field, Kemah Town ","",1664 ,4
30116 ,Tomorrow People Foundation ,Soul Clinic Road ,"",2004 ,5
30117 ,Sammy M. Dukuly School ,Soul Clinic Right Side ,"",1667 ,4
30119 ,Seymour Grann School ,Duport Road ,"",2043 ,5
30120 ,Seymour Grann School ,Duport Road ,"",1636 ,4
30122 ,"Rik-C Day Care, Nursery & Pre-School ",Duport Road ,"",2059 ,5
30123 ,Dave R. Inman Int'l School ,Duport Road North East/Mid Duport Road ,"",983 ,2
30124 ,Zinah Foundation School ,Cow Field/ Sharah Community Duport Road Sou ,"",1014 ,3
30125 ,Stronger Hope Central Academy ,Zubah Town Road Right ,"",2007 ,5
30126 ,Rev. Mother Sarah School System ,Duport Road North /Zubah Town ,"",2947 ,6
30127 ,William Bean Institute/World Wide ,Paynesville Central ,"",1927 ,4
30128 ,Nathan E. Gibson School ,Paynesville Road/Water Tower ,"",2113 ,5
30129 ,Nathan E. Gibson School ,Paynesville Road/Water Tower ,"",2828 ,6
30278 ,Whein Town Public School ,Whein Town Community ,"",2253 ,5
30279 ,Charles F. Caine School ,Bernard Farm/FDA Road ,"",2149 ,5
