Code ,Locality ,Address ,Voters ,Places,""
18001 ,Jarblakpo Public School ,Jarblakpo ,405 ,"",1
18003 ,Doeswen Public School ,Doeswen ,1440 ,"",3
18004 ,Toe Jelleh Elem. School ,Jlateken ,776 ,"",2
18006 ,Betu Public School ,Betu City ,409 ,"",1
18007 ,S.S Chea Elem. School ,Allawala City ,1541 ,"",4
18009 ,Fleneken Public School ,Fleneken ,527 ,"",2
18010 ,Feloken Public School ,Henriesville City/Feloken ,772 ,"",2
18011 ,Neroh Public School ,Neroh ,262 ,"",1
18014 ,Chenwrinken Public School ,Chenwrinken ,697 ,"",2
18015 ,Barfoewin Public School ,Barforwin ,875 ,"",2
18016 ,Dio Public School ,Dio (Wappi City) ,549 ,"",2
18017 ,Sass Town High School ,Felokree ,1054 ,"",3
18022 ,Parluken Public School ,Parluken ,1757 ,"",4
18023 ,Poe Public School ,Poe (Ducor City) ,274 ,"",1
18024 ,Warkpo Public School ,Warkpo(Wasswa City) ,299 ,"",1
18029 ,Boluwin Town Hall ,Boluwin ,709 ,"",2
18030 ,Nrokwia Public School ,Nrokwia ,1032 ,"",3
18031 ,Buah Jr. High School ,Geetugbaken Community / Gee City ,1235 ,"",3
18032 ,Wropluken Public School ,Wropluken ,593 ,"",2
18034 ,Niplaihkpo Public School ,Niplaihkpo ,272 ,"",1
18035 ,Nifu Public School ,Nifu ,804 ,"",2
18036 ,A A Hoff Elem. & Jr. High School ,Big Suehn ,560 ,"",2
18040 ,Barclayville Central High School ,Barclayville City ,1978 ,"",4
