Voting ,"","","","",General 
Precinct ,COUNTY :MONTSERRADO ,ELECTORAL DISTRICT : 12 ,"","",Polling 
Code ,Locality ,Address ,"",Voters ,Places
30010 ,West African Christian Institute ,"Opp. Stephen Tolbert Estate, River View ","",728 ,2
30051 ,Wells-Hairston School ,Chicken Soup Factory ,"",2659 ,6
30052 ,Wells-Hairston School ,Chicken Soup Factory ,"",1866 ,4
30053 ,A.G.M. School ,Chicken Soup Factory ,"",1523 ,4
30054 ,Christain David Elem & Jr. High School ,Chicken Soup Factory ,"",955 ,2
30055 ,Free Penticostal Global Mission Church ,Opp. the market/ Chicken Soup Factory ,"",1810 ,4
30157 ,St. Philip School ,Snow Hill ,"",2765 ,6
30159 ,James Tue High School ,J.J.Y. - Snow Hill ,"",1319 ,3
30164 ,"Emmanuel Community Polytechnic Jr. & Sr. SchDry Rice Market Community, Johnsonville Road ","","",1713 ,3
30165 ,"Emmanuel Community Polytechnic Jr. & Sr. SchDry Rice Market Community, Johnsonville Road ","","",1488 ,3
30166 ,Euphemia Abdullia Primary Public School ,"Karduma Community, Johnsonville Road B ","",809 ,2
30167 ,Euphemia Abdullia Primary Public School ,"Karduma Community, Johnsonville Road B ","",873 ,2
30171 ,Star International Academy ,Kesselly Boulevard ,"",1608 ,4
30172 ,Wisdom Home Heritage Elem. School ,Kesselly Boulevard ,"",1010 ,3
30216 ,St. Magarette School System ,MTA ,"",1740 ,4
30217 ,Liberia Christian Community College ,MTA ,"",2683 ,6
30264 ,OPHANAGE/WACI ,"Opp. Stephen Tolbert Estate, River View ","",653 ,2
30265 ,Maranatha A.G.M School ,"Opp. Stephen Tolbert Estate, River View ","",1138 ,3
30281 ,Picoli Preparatory School ,Shoe Factory ,"",1977 ,4
30282 ,Richand Hunter Elem & Jr.High School ,"LPRC Road, Shoe Factory ","",2495 ,6
30294 ,Special Project School ,Stephen Tolbert Estate ,"",1790 ,4
30295 ,Wesleyan School ,Stephen Tolbert Estate ,"",1763 ,4
