Voting ,"","","","",General 
Precinct ,COUNTY :BOMI ,"",ELECTORAL DISTRICT : 3 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
3015 ,Tulaymu Palava Hut ,"",Tulaymu ,668 ,2
3016 ,Demeh Palava Hut ,"",Demeh ,2838 ,6
3017 ,Bogbeh Palava Hut ,"",Bogbeh ,1280 ,3
3019 ,Bonor Town Palava Hut ,"",Bonor ,711 ,2
3020 ,Bowien Town Palava Hut ,"",Bowein ,1054 ,3
3021 ,Jeon School ,"",Folley ,203 ,1
3022 ,Dagbweh Town Hall ,"",Dagweh ,1288 ,3
3030 ,Gonjeh Palava Hut ,"",Gonjeh ,403 ,1
3034 ,Jenneh #3 Palava Hut ,"",Jenneh #3 ,2027 ,5
3038 ,Gowein Palava Hut ,"",Gowein ,383 ,1
3046 ,Weajor Town Hall ,"",Weajor ,1357 ,3
3050 ,Zohnbaimon Palava Hut ,"",Zohnbaimon ,225 ,1
3053 ,Quassia Town Palava Hut ,"",Quassia Town ,156 ,1
3054 ,Big Geveh Palava Hut ,"",Big Geveh ,321 ,1
3055 ,Gbai Palava Hut ,"",Gbai ,235 ,1
3056 ,Gbao Palava Hut ,"",Gbao #1 ,582 ,2
3057 ,Gbojah Palava Hut ,"",Gbojah ,867 ,2
3058 ,Kpakla Palava Hut ,"",Kpakla ,549 ,2
3059 ,Maloma Palava Hut ,"",Maloma ,264 ,1
3060 ,Mecca Palava Hut ,"",Mecca ,570 ,2
3061 ,Moila Town Hall ,"",Moila ,466 ,1
3062 ,Sonodee Town Hall ,"",Sonodee ,410 ,1
3063 ,Alasala Palava Hut ,"",Alasala ,1250 ,3
3064 ,Suehn Town Hall ,"",Suehn ,937 ,2
3065 ,Mulbah Town Hall ,"",Mulbah Town ,524 ,2
3066 ,Zuwah Town Palava Hut ,"",Zuwah Town ,398 ,1
