Voting ,"","","","",General 
Precinct ,COUNTY :MONTSERRADO ,"",ELECTORAL DISTRICT : 17 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
30001 ,Blahn Public School ,"",Blahn Town/ Royesville ,239 ,1
30005 ,Komah Public School ,"",Kimba/Clay Ashland ,344 ,1
30011 ,W.D. Coleman High School ,"",Central Clay Ashland ,664 ,2
30026 ,Central Arthington Palava Hut ,"","Cross Road, Central Arthington ",624 ,2
30046 ,Royesville Public School ,"",Royesville ,390 ,1
30075 ,Neekon Public School ,"",Neekon/ Arthington ,334 ,1
30076 ,Samie Public School ,"",Samie/ Arthington ,381 ,1
30137 ,Jallabah Public school ,"",Jawajeh/ Arthington ,696 ,2
30198 ,Sarah Barclay Public School ,"",Zaye Town/ Virgina ,2828 ,6
30199 ,Virginia Christian Academy ,"",Hote Africa Road / Virgina ,1477 ,3
30200 ,Banjor Public School Center ,"",Banjor Old Road / Virgina ,2550 ,6
30201 ,Virginia Public School ,"",Central Virginia / Virgina ,806 ,2
30202 ,Banjor United Community Center ,"",Jartu Town / Virgina ,1612 ,4
30203 ,Pamela Kay Elem.& Jr. High School ,"",Red Hill Community / Virgina ,2972 ,6
30204 ,Mango Town Clinic ,"",Mango Town / Virgina ,969 ,2
30205 ,Gbarteah Palava Hut ,"",Gbarteah Town / Virgina ,1123 ,3
30206 ,Goyee Jr. High School ,"",Kai Town / Virgina ,500 ,1
30207 ,FAWE School of Excellence ,"",Red Hill / Virgina ,1351 ,3
30208 ,Bamboo Town Public School ,"",Bamboo Town Community / Virgina ,319 ,1
30210 ,Millsburg Community Center ,"",Central Millsburg ,282 ,1
30302 ,Pingi Town Arabic School ,"",Pingie/ Clay Ashland ,380 ,1
30336 ,Gbondoi Public School ,"",Gbondol/ Upper Virginia ,179 ,1
30341 ,Wesleyan School ,"",Chase Town/ Brewerville ,384 ,1
30342 ,Zunnah Town Public School ,"",Moulton Corner / Brewerville ,127 ,1
30343 ,A.G.M. Bible College ,"",AG Bible College Community / Brewerville ,1597 ,4
30344 ,Madison Public School ,"",Parker Corner / Brewerville ,1615 ,4
30345 ,Isaac Tondo Public School ,"",Jah Tondo / Brewerville ,992 ,2
30346 ,Old Triump Church Mission School ,"",Central Brewerville ,1630 ,4
30356 ,Kpallah Public School ,"",Kpallah Town / Brewerville ,2483 ,5
30357 ,Atherin School ,"",Wilson Corner / Brewerville ,1330 ,3
30358 ,Bamasee Public School ,"",Blamasee / Brewerville ,1550 ,4
30365 ,Ricks Institute ,"",Ricks Institute / Brewerville ,688 ,2
30366 ,Billey Town Public school ,"",Billey Town / Brewerville ,937 ,2
30367 ,Cheesemanburg Elem. & Jr. High School ,"",Quenyondee/ Cheesemanburg ,418 ,1
30377 ,Lott Carey Mission School ,"",Lott Carey / Brewerville ,2763 ,6
30391 ,Kubono Public School ,"",Kubono / Brewerville ,409 ,1
30418 ,Sawegbeh Public School ,"",Sawegbeh / Brewerville ,257 ,1
30419 ,Kperkor Public School ,"",Kperkor / Brewerville ,305 ,1
30420 ,Gandema Public School ,"",Gandema / Brewerville ,282 ,1
