Voting ,"","","","",General 
Precinct ,COUNTY :MARYLAND ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
27002 ,Gborlobo Elem. School ,"",Gborlobo ,1003 ,3
27007 ,Gbaewen Elem. School ,"",Gbaewen Big Town ,124 ,1
27008 ,Gbeken Town Hall ,"",Gbeken Main Town ,166 ,1
27009 ,Gbloken Mission Elem. School ,"",Gbloken Mission Town ,365 ,1
27010 ,Gbololu Town Hall ,"",Gbololu ,351 ,1
27012 ,CRC Kindergarten ,"",Evansville -1 ,853 ,2
27013 ,CRC High School ,"",Gedetarbo ,824 ,2
27014 ,Division 5 Camp 5 Palava Hut ,"",Division 5 Camp 5 ,1109 ,3
27015 ,Golobo Elem. School ,"",Golobo ,255 ,1
27020 ,Old Sodoken Town Hall ,"",Old Sodoken ,577 ,2
27023 ,Pleebo City Hall ,"",Plebo ,3058 ,7
27024 ,Pleebo High School ,"",Plebo ,3359 ,7
27025 ,Pleebo Grand Public School ,"",Plebo ,2573 ,6
27026 ,Geebio Palava Hut ,"",Gebio Big ,1511 ,4
27027 ,Bassa Community Elem. School ,"",Plebo ,1183 ,3
27030 ,Sadeken Town Hall ,"",Sadeken ,495 ,1
27031 ,Libsuco Community School ,"",Libsuco Factory ,266 ,1
27034 ,Witchoken Elem. School ,"",Witchoken Mission ,395 ,1
