Code ,Locality ,Address ,Voters ,Places,""
9015 ,Barseegiah School Building ,Barseegiah ,657 ,"",2
9016 ,Manawon Town Palava Hut ,Manawon ,635 ,"",2
9017 ,Isaac Anjuah Town Palava Hut ,Isaac Anjuah ,601 ,"",2
9018 ,Timbo Town Palava Hut ,Timbo Giah ,477 ,"",1
9019 ,Kporkon Town Palava Hut ,Kporkon ,879 ,"",2
9020 ,Borbor Town Palava Hut ,Borbor ,526 ,"",2
9021 ,Frank Diggs Town Palava Hut ,Frank Diggs ,764 ,"",2
9026 ,Sam Town Palava Hut ,Sam ,561 ,"",2
9027 ,Boe Juah Town Palava Hut ,Boe Juah Town ,233 ,"",1
9028 ,Zuagar Town Palava Hut ,Zuagar ,516 ,"",2
9029 ,Gardee Town Palava Hut ,Gardee ,1337 ,"",3
9030 ,Civil Compound # 3 Administrative Building ,Civil Compound ,2547 ,"",6
9037 ,Desoe Town Palava Hut ,Desoe ,712 ,"",2
9038 ,Taylue Town Palava Hut ,Taylue ,591 ,"",2
9039 ,Kennedy Town Palava Hut ,Kennedy ,1075 ,"",3
9049 ,Charles Johnson Town Palava Hut ,Charles Johnson ,875 ,"",2
9050 ,Sawthrow Town Palava Hut ,Sawthrow ,473 ,"",1
9051 ,Gaypuhole Town Palava Hut ,Gaypuhole ,487 ,"",1
9084 ,Sue Town Palava Hut ,Sue ,914 ,"",2
9085 ,Klehn Town Palava Hut ,Klehn ,793 ,"",2
9086 ,Voe Town Palava Hut ,Voe ,627 ,"",2
9094 ,Farnk Diggs Town Palava Hut ,Farnk Diggs ,949 ,"",2
9095 ,Pay-u-way Town Palava Hut ,Pay-u-way ,149 ,"",1
9096 ,Saynwrane Town Palava Hut ,Saynwrane ,258 ,"",1
9097 ,James Zayway Town Palava Hut ,James Zayway ,569 ,"",2
9110 ,Bear-Bear Camp Palava Hut ,Bear -Bear Camp ,922 ,"",2
9111 ,Boeglay Town Palava Hut ,Boeglay ,550 ,"",2
9112 ,Estate 2 Bongolo Palava Hut ,Estate 2 Bongolo ,506 ,"",2
9113 ,Gorzohn Old Camp Palava Hut ,Gorzohn Old Camp ,1695 ,"",4
9114 ,Dirt Hole Camp Palava Hut ,Dirt Hole Camp ,1207 ,"",3
9115 ,LAC-Head Office Palava Hut ,LAC ,2784 ,"",6
