Code ,Locality ,Address ,Voters ,Places,""
6001 ,Baila Public School ,Baila Town ,1218 ,"",3
6002 ,Sarworlor Public School ,Sarworlor Town ,629 ,"",2
6014 ,Duta Town Hall ,Duta ,1090 ,"",3
6020 ,Galai Public School ,Galai ,1272 ,"",3
6028 ,Tarsai Palava Hut ,Tarsai ,895 ,"",2
6046 ,Palala Public School ,Palala ,2615 ,"",6
6051 ,Green Hill Quarry Public School ,Green Hill Quarry ,362 ,"",1
6052 ,Zowienta Public School ,Zowienta ,2060 ,"",5
6078 ,Zeby Public School ,Zebay ,1941 ,"",4
6084 ,Yopea Palava Hut ,Yopea ,988 ,"",2
6122 ,Dahn-Kan Palava Hut ,Dahn-Kan ,1203 ,"",3
6135 ,Yolota Palava Hut ,Yolota(A) ,1183 ,"",3
6136 ,Gold Camp Palava Hut ,Gold Camp ,1803 ,"",4
6137 ,Doe Public School ,Doe ,533 ,"",2
6138 ,Gbelletay Palava Hut ,Gbelletay ,307 ,"",1
6139 ,Rock Crusher Palava Hut ,Rock Crusher ,810 ,"",2
6140 ,Botota Public School ,Botota ,919 ,"",2
6141 ,Gbalorkpala Public School ,Gbarlorkpalah ,961 ,"",2
6142 ,Old Gbarta Palava Hut ,Old Gbarta ,1264 ,"",3
6143 ,Nangbo Palava Hut ,Nangbo ,492 ,"",1
6144 ,Tokpa-Ta Public School ,Tokpa-Ta ,1013 ,"",3
6145 ,U-Lah Public School ,U-Lah ,1095 ,"",3
6146 ,Gbecohn Public School ,Gbecohn ,1366 ,"",3
6147 ,Zeo Palava Hut ,Zeo ,391 ,"",1
6148 ,Malonkai Palava Hut ,Malonkai ,479 ,"",1
