Code ,Locality ,Address ,Voters ,Places,""
6005 ,Beletanda Palava Hut ,Beletanda ,812 ,"",2
6009 ,Boryormah Palava Hut ,Boryormah One ,1170 ,"",3
6010 ,St. Paul catholic School ,Cephas Town ,1026 ,"",3
6011 ,Borlarmu Public School ,Degei ,856 ,"",2
6012 ,Boudala Public School ,Boduala ,598 ,"",2
6029 ,Gbamokollieta Palava Hut ,Gbamokollieta ,812 ,"",2
6030 ,Wumai Palava Hut ,Wumai Town ,819 ,"",2
6047 ,Gbo Gbo Ta Public School ,Gbo Gbo Ta ,895 ,"",2
6061 ,Haindii Clinic ,Haindii ,1976 ,"",4
6066 ,Stephen-ta Palava Hut ,Stephen-ta ,420 ,"",1
6067 ,Kankalan Public School ,Kankalan Town ,686 ,"",2
6070 ,Kelebei Public School ,Kelebei ,1020 ,"",3
6076 ,Winnie-ta Public School ,Winnie-ta ,1040 ,"",3
6080 ,Gbonokalai Palava Hut ,Gbonokalai Town ,518 ,"",2
6087 ,Nuamue Public School ,Nuamue I ,502 ,"",2
6089 ,Nyeablia Public School ,Nyeablia Town ,1614 ,"",4
6090 ,Nancy B. Doe Elem. School ,Nyean Town ,1449 ,"",3
6094 ,Piata Palava Hut ,Piata ,761 ,"",2
6095 ,Popota Public School ,Popota ,1193 ,"",3
6097 ,Sanoyea Lutheran School ,Sanoyea ,1234 ,"",3
6098 ,Sanoyea Market ,Sanoyea ,2088 ,"",5
6112 ,Samah Town Palava Hut ,Samah ,200 ,"",1
6119 ,Lawana Public School ,Varnery Town ,1496 ,"",3
6120 ,Volomeni Palava Hut ,Volomeni Town ,868 ,"",2
6126 ,Yarbayeh Public School ,Yarbayeh Town ,1030 ,"",3
6131 ,Zamkpe Yama Palava Hut ,Zamkpe Yama ,327 ,"",1
6134 ,Gbalala Clinic ,Gbalala Town ,559 ,"",2
