Code ,Locality ,Address ,Voters ,Places,""
9001 ,Kpaingba Town Palava Hut ,Kpaingba ,254 ,"",1
9002 ,Kamachea Town Palava Hut ,Kamachea ,510 ,"",2
9003 ,Paye Town Palava Hut ,Paye ,318 ,"",1
9010 ,Bokay Town Palava Hut ,Bokay ,1763 ,"",4
9011 ,Jeko Town Palava Hut ,Jeko ,250 ,"",1
9012 ,Owensgroove Administrative Building ,Owensgroove ,2914 ,"",6
9042 ,Gozohn Town Palava Hut ,Gozohn ,188 ,"",1
9043 ,Gbarkpeh Town Palava Hut ,Gbarkpeh Town ,558 ,"",2
9055 ,Neegeewein Elem. School ,Neegeewein ,1412 ,"",3
9056 ,Beon Town Palava Hut ,Beon ,550 ,"",2
9057 ,Kpenzohn Village Palava Hut ,Kpenzohn Village ,465 ,"",1
9060 ,Barclayville Town Palava Hut ,Barclayville ,896 ,"",2
9061 ,Doewein Town Palava Hut ,Doewein ,1023 ,"",3
9062 ,Chuah Viankon Town Palava Hut ,Chuah Viankon ,613 ,"",2
9064 ,Bassa Point Town Palava Hut ,Bassa Point ,213 ,"",1
9065 ,Kro Town Palava Hut ,Kro ,470 ,"",1
9079 ,Zaye's Town Palava Hut ,Zaye's ,565 ,"",2
9080 ,Kanpue Town Palava Hut ,Kanque ,402 ,"",1
9081 ,Goesuah Town Palava Hut ,Goesuah ,616 ,"",2
9082 ,Jacob Larteh Town Palava Hut ,Jacob Larteh ,936 ,"",2
9083 ,Gurlee Town Palava Hut ,Gurlee ,144 ,"",1
9087 ,Nuah Town Palava Hut ,Nuah ,376 ,"",1
9088 ,Zoe Town Palava Hut ,Zoe ,389 ,"",1
9089 ,Little Bassa Town Palava Hut ,Little Bassa ,750 ,"",2
9090 ,Civil # 1 Compoound Administrative Building ,Civil Compoound #1 ,1122 ,"",3
9091 ,Wrayn Town Palava Hut ,Wrayn ,156 ,"",1
9092 ,Betto Token Town Palava Hut ,Betto Token ,244 ,"",1
9093 ,Douweh Town Palava Hut ,Douweh/Wheeto Town ,574 ,"",2
9100 ,Mondeh Town Palava Hut ,Mondeh ,299 ,"",1
9101 ,Norr Town Palava Hut ,Norr Town ,512 ,"",2
9102 ,Saul Village Palava Hut ,Saul Village ,469 ,"",1
9116 ,Somah Town Palava Hut ,Somah ,277 ,"",1
9117 ,Kutuahn School Building ,Kutuahn ,191 ,"",1
9118 ,Kpawetro Town Palava Hut ,Kpawetro ,331 ,"",1
