Code ,Locality ,Address ,Voters ,Places,""
6003 ,Blameyea Public School ,Blameyea ,763 ,"",2
6006 ,Beletanta Palava Hut ,Beletanta ,641 ,"",2
6007 ,Tolomanai Palava Hut ,Tolomanai ,925 ,"",2
6021 ,Garwuquelleh Palava Hut ,Garwuquelleh ,1389 ,"",3
6045 ,Gbenequelleh Public School ,Gbenequelleh ,1521 ,"",4
6062 ,Jankpayah-Ta Palava Hut ,Jankpayah-Ta ,489 ,"",1
6063 ,Janyea Public School ,Janyea ,1801 ,"",4
6071 ,Kollieta-Wola Public School ,Kollieta-Wola ,685 ,"",2
6081 ,Mano Weansue Public School ,Mano-Weasue ,541 ,"",2
6082 ,Leleh Public School ,Leleh ,794 ,"",2
6083 ,Bayata Public School ,Bayata ,863 ,"",2
6096 ,Samay Public School ,Samay ,1024 ,"",3
6109 ,Tamay-ta Public School ,Tammy_Ta ,635 ,"",2
6110 ,Foloblah palava Hut ,Foloblah ,523 ,"",2
6127 ,Neyanyarlah Palava Hut ,Neyanyarlah Town ,517 ,"",2
6128 ,Yeanawoun Palava Hut ,Yeanawoun Town ,1355 ,"",3
6149 ,Tomue Palava Hut ,Tomue ,811 ,"",2
6154 ,J.F. Clark Kindergaten School ,Gbarnga ,3339 ,"",7
6157 ,Lelekpayea Community School ,Lelekpayea Community ,1757 ,"",4
6158 ,N.V. Massaquoi School ,Gbarnga ,3316 ,"",7
