Voting ,"","","","",General 
Precinct ,COUNTY :MARGIBI ,"",ELECTORAL DISTRICT : 1 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
24018 ,Prince Wallace Estate Hall ,"",Prince Wallace Estate ,710 ,2
24019 ,Division 16 long Camp Office ,"",Division 16 long Camp ,2190 ,5
24020 ,Division 6 Front Office ,"",Division 6 Front ,967 ,2
24021 ,Monclay Palava Hut ,"",Monclay ,965 ,2
24026 ,Duside Village Office ,"",Duside Village ,1980 ,4
24030 ,Division 9 Old Camp School ,"",Division 9 Old Camp ,1197 ,3
24031 ,Browne Town Palava Hut ,"",Browne Town ,867 ,2
24033 ,Division 11 Office ,"",Division 11 ,1049 ,3
24034 ,Garmaymu Town Palava Hut ,"",Garmaymu ,629 ,2
24036 ,Mambah Civil Compound Palava Hut ,"",Mambah Civil Compound ,1121 ,3
24050 ,Zeor Palava Hut ,"",Zeor ,847 ,2
24059 ,Joezohn Palava Hut ,"",Joezohn - Loongaye ,621 ,2
24070 ,Foe-day Town School ,"",Foe-day ,1083 ,3
24102 ,Lloydsville Public School ,"",Lloydsville / Zeechugb ,168 ,1
24103 ,Scheiffelin Commissioner's Office ,"",Scheiffelin ,1408 ,3
24104 ,J.P. Mitchell School ,"",Scheiffelin ,2357 ,5
24105 ,Dwazon Public School ,"",Dwazon ,3945 ,8
24106 ,Rock Institute School ,"",Rock Church Community ,3995 ,9
24107 ,Kpakpacon Palava Hut ,"",Kpakpacon ,377 ,1
24108 ,Marshall City Hall ,"",Central Marshall ,746 ,2
24109 ,Henry Town Palava Hut ,"",Henny Town ,571 ,2
24132 ,Zeeworh Palava Hut ,"",Zeeworh Town ,1057 ,3
