Voting ,"","","","",General 
Precinct ,COUNTY :GBARPOLU ,"",ELECTORAL DISTRICT : 3 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
45001 ,Ballah Town Public School ,"",Ballah-Bassa ,248 ,1
45003 ,Beaden Town Hall ,"",Beaden ,178 ,1
45004 ,Beathou Town Hall ,"",Beathou ,103 ,1
45005 ,Domanmana Town Hall ,"",Domanmana ,135 ,1
45006 ,Marma Town Hall ,"",Mbama ,239 ,1
45007 ,Beatoe Town ,"",Beatoe ,872 ,2
45013 ,Timba Town Palava Hut ,"",Timba ,402 ,1
45014 ,Amtel Camp Palava Hut ,"",Amtel Camp Town ,145 ,1
45018 ,Gbarma Centra High School ,"",Gbarma ,2155 ,5
45020 ,Gbelleta Public School ,"",Gbelleta ,599 ,2
45026 ,Galahun Town Hall ,"",Galahun ,63 ,1
45027 ,Bombohun Town Hall ,"",Bombohun ,65 ,1
45032 ,Kungbor Town Hall ,"",Kungbor ,1000 ,2
45034 ,Vaye Town (Weamawou) Public School ,"",Vaye Town ,1153 ,3
45037 ,Njaiboi Town Hall ,"",Njaiboi Town Center ,225 ,1
45038 ,Yangaya Town Hall ,"",Yangaya ,512 ,2
45039 ,Nomodatanau Town Hall ,"",Nomodatanau ,1181 ,3
45041 ,Camp Alpha Town Palava Hut ,"",Camp Alpha ,1033 ,3
45043 ,Karnley Town Palava Hut ,"",Karnley Town ,1131 ,3
45044 ,Tarkpoimah Town Hall ,"",Tarkpoimah ,427 ,1
45045 ,Smith Public School ,"",Smith ,375 ,1
45054 ,Weasua Town Hall ,"",Weasua ,1187 ,3
45055 ,Welequa Town Hall ,"",Welequa ,265 ,1
45059 ,Zuie School ,"",Zuie ,513 ,2
