Voting ,"","","","",General 
Precinct ,COUNTY :RIVER GEE ,"",ELECTORAL DISTRICT : 3 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
42002 ,Webbo Teacher Training Institute ,"",Kronoken City ,2470 ,5
42004 ,Chea Cheapo Elementry School ,"",Old Yassaken Town ,937 ,2
42006 ,Yargbeken Public School ,"",Yargbeken ,656 ,2
42007 ,Gbaweleken Market Hall ,"",Gbaweleken ,1375 ,3
42009 ,Taryaken Town Hall ,"",Taryaken ,634 ,2
42014 ,Yobloken Town Hall ,"",Yobloken ,171 ,1
42016 ,Freetown Palava Hut ,"",Free Town ,704 ,2
42017 ,Tom Wah Jr. High School ,"",Sarbo Sweaken Town ,1225 ,3
42025 ,Tarwarken Public School ,"",Tarwarken ,472 ,1
42027 ,Paaken Public School ,"",Paaken ,558 ,2
42028 ,Tuobo Sweaken Town Hall ,"",Toubo Sweaken ,497 ,1
42030 ,Youbor Palava Hut ,"",Youbor ,461 ,1
