Voting ,"","","","",General 
Precinct ,COUNTY :NIMBA ,"",ELECTORAL DISTRICT : 9 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
33066 ,Dorgbor Town Public School ,"",Dorgbor ,335 ,1
33084 ,Glehyee Zorpea Palava Hut ,"",Glehyee Zorpea ,1302 ,3
33085 ,Ganwee Palava Hut ,"",Ganwee ,851 ,2
33086 ,Boyee Palava Hut ,"",Boyee ,773 ,2
33087 ,Goekorpa Public School ,"",Goekorpa ,462 ,1
33090 ,Graie Public School ,"",Graie Township ,1652 ,4
33093 ,Bein Glahn Public School ,"",Bein Glahn ,534 ,2
33094 ,Guotoin Public School ,"",Guotoin ,1026 ,3
33095 ,Wright Town's Public School ,"",Wright's Town ,152 ,1
33112 ,Plehyee Palava Hut ,"",Sendin Plehyee ,631 ,2
33113 ,Kpowin Public School ,"",Kpoowin ,662 ,2
33114 ,Kwendin Palava Hut ,"",Kwendin ,1406 ,3
33126 ,Mehnla Palava Hut ,"",Mehnla ,1678 ,4
33129 ,Nebornwen Palava Hut ,"",Yillay ,318 ,1
33130 ,Glahn's Town Public School ,"",Glahn ,533 ,2
33131 ,Tiah Public School ,"",Tiah ,216 ,1
33174 ,Troyah Public School ,"",Troyah ,99 ,1
33178 ,Zeonghen Public School ,"",Zeonghen ,1299 ,3
33184 ,Wontoe Public School ,"",Wontoe ,258 ,1
33192 ,Dahnpa Palava Hut ,"",Dahnpa ,739 ,2
33193 ,Zahnzaye Public School ,"",Zahnzaye ,1048 ,3
33195 ,Kidka Palava Hut ,"",Kidka ,226 ,1
33197 ,Camp One Town Public School ,"",Camp One Town ,505 ,2
33198 ,Freeman Public School ,"",Freeman ,395 ,1
33199 ,Karyee Public School ,"",Karyee ,847 ,2
33200 ,Zekepa Public School ,"",Zekepa ,992 ,2
33201 ,Ziah Old Palava Hut ,"",Ziah Old ,1572 ,4
33210 ,Zuaplay Public School ,"",Zuaplay ,1046 ,3
33211 ,Doumpa Palava Hut ,"",Doumpa ,766 ,2
33212 ,Zuolay Chief Compound ,"",Zuolay ,1654 ,4
33214 ,Zuotuo Public School ,"",Zuotuo ,528 ,2
