Code ,Locality ,Address ,Voters ,Places,""
27011 ,Nemeken Town Hall ,Nemeken ,548 ,"",2
27037 ,Boniken High School ,Boniken ,958 ,"",2
27038 ,Manolu Elem School ,Manolu #2 ,503 ,"",2
27039 ,Gbamaken Town Hall ,Gbamaken # 1 ,251 ,"",1
27040 ,Jargeloken Town Hall ,Jargeloken ,70 ,"",1
27041 ,Soloken Town Hall ,Soloken ,57 ,"",1
27042 ,Boys Dormitory ,Doloken ,344 ,"",1
27043 ,Gbakliken Town Hall ,Gbakliken ,244 ,"",1
27044 ,Feloken Elem. School ,Feloken ,413 ,"",1
27045 ,Dugboken Elem. School ,Dugboken ,504 ,"",2
27046 ,Chiliken Elem. School ,Chiliken ,64 ,"",1
27047 ,Gbeaken Elem. School ,Gbeaken ,332 ,"",1
27048 ,Gbiabosuken Town Hall ,Gbiabosuken ,161 ,"",1
27049 ,Gwuteken Town Hall ,Gwutuken ,579 ,"",2
27050 ,Rock Town Public School ,Rock Town ,438 ,"",1
27051 ,Gorturken Town Hall ,Gorturken ,268 ,"",1
27052 ,Warteken Town Hall ,Warteken ,505 ,"",2
27053 ,Suasu Town Hall ,Suasu ,245 ,"",1
27054 ,Dwejah Town Hall ,Dwejah ,217 ,"",1
27055 ,Karloken Elem. & Jr High School ,Karloken ,1332 ,"",3
27056 ,Joe Clark Elem. School ,Juluken # 1 ,428 ,"",1
27057 ,Kliliken Town Hall ,Kliliken ,498 ,"",1
27058 ,Yobloken Town Hall ,Yobloken Town ,948 ,"",2
27059 ,Martuken Town Hall ,Martuken ,153 ,"",1
27060 ,Sampson Goe Elem. School ,Gbawiliken Cavalla ,216 ,"",1
27061 ,Pougbaken Elem. School ,Pougbaken ,152 ,"",1
27062 ,Yederobo Elem. School ,Yederobo ,1015 ,"",3
27063 ,Seator Town Hall ,Seator ,57 ,"",1
27064 ,Sawtorken Town Hall ,Sawtorken II ,125 ,"",1
27065 ,Barrobo Central High ,Glofaken ,404 ,"",1
27066 ,Gwissiken Town Hall ,Gwissiken ,461 ,"",1
27067 ,Tarworken Town Hall ,Tarworken ,549 ,"",2
27068 ,Tugbaken Elem. & Jr. High School ,Tugbaken ,695 ,"",2
27069 ,Henogbe Elem. School ,Henogbe ,334 ,"",1
27070 ,James T. Hinneh Elem. School ,Big Jay ,265 ,"",1
27071 ,Wutuken Elem. School ,Wuluken ,546 ,"",2
27072 ,Wlowien Town Hall ,Wlowien ,500 ,"",1
