Voting ,"","","","",General 
Precinct ,COUNTY :SINOE ,"",ELECTORAL DISTRICT : 3 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
39003 ,Kallor Town Palava Hut ,"",Kallor Town ,236 ,1
39004 ,Judu Town Public School ,"",Judu Town ,334 ,1
39007 ,Ceeter Palava Hut ,"",Ceeter Town ,347 ,1
39008 ,Chebioh Palava Hut ,"",Chebioh ,239 ,1
39009 ,Bilibokree Administrative Building ,"",Bilibokree Town ,1505 ,4
39010 ,Pelloken Palava Hut ,"",Pelloken ,299 ,1
39015 ,Camp-2 Palava Hut ,"",Najor /Camp-2 ,409 ,1
39018 ,Boe Smaljilla Public School ,"",Boe Smaljilla ,260 ,1
39020 ,Voogbadee Public School ,"",Voogbadee ,748 ,2
39026 ,Gboyee Town Palava Hut ,"",Gboyee ,349 ,1
39027 ,Baffu Camp Palava Hut ,"",Baffu Camp ,774 ,2
39028 ,Korjayee No. 2 Palava Hut ,"",Korjayee #2 ,159 ,1
39032 ,Tugbaville Administrative Building ,"",Tugbaville Town ,858 ,2
39035 ,Jacksonville Kulu Elem. & Jr. High School ,"",Jacksonville ,499 ,1
39038 ,Nyennfueh Market ,"",Nyennfueh ,604 ,2
39039 ,Old Pyne Adm. Building ,"",Pyne Town/ Old ,1457 ,3
39043 ,Plandialebo High School ,"",Plandialebo ,726 ,2
39044 ,Quoih - Duo Palava Hut ,"",Quoih - Duo ,45 ,1
39045 ,Jalay Town Palava Hut ,"",Jalay Town ,487 ,1
39046 ,Kingston Weagbah Elem. & Jr. High School ,"",Oneway ,349 ,1
39048 ,Sargbah Town Public School ,"",Sargbah ,268 ,1
39050 ,Kulu Public Elem. & Jr. High School ,"",Sonoah ,261 ,1
39052 ,Tarlow Town Hall ,"",Unification Town/Tarlow ,589 ,2
39053 ,Karmo Palava Hut ,"",Karmo ,743 ,2
39055 ,Tanneh Wiah Town Public School ,"",Tanneh Wiah Town ,420 ,1
39056 ,Gbazon Palava Hut ,"",Gbazon ,877 ,2
39058 ,Tournata Palava Hut ,"",TournataTown ,424 ,1
