Voting ,"","","","",General 
Precinct ,COUNTY :RIVER CESS ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
36008 ,Klabga Palava Hut ,"",klaygbe ,686 ,2
36011 ,Little Liberia School Building ,"",Little Liberia Village ,1522 ,4
36012 ,Yarpa's Town Hall ,"",Yarpa's Town ,2966 ,7
36013 ,Gesay Judu Palava Hut ,"",Gesay Judu ,625 ,2
36015 ,DangronGbor Church ,"",Dangron Gbor Town ,225 ,1
36016 ,ITI Town Hall ,"",ITI ,981 ,2
36017 ,Gborseo School Building ,"",Gborseo ,810 ,2
36019 ,Charlie School Building ,"",Charlie ,449 ,1
36021 ,Quitoe Town Church ,"",Quitoe ,673 ,2
36024 ,Voin Palava Hut ,"",Voin Town ,539 ,2
36026 ,Dunn Town Palava Hut ,"",Dunn Town ,450 ,1
36028 ,Farh Palava Hut ,"",Farh ,335 ,1
36029 ,Neegba Town Palava Hut ,"",Neegba ,529 ,2
36030 ,Solo Gold Camp Palava Hut ,"",Solo Gold Camp ,179 ,1
36031 ,Ceyea Town Palava Hut ,"",Ceyea ,783 ,2
36033 ,Borbor Palava Hut ,"",Borbor ,526 ,2
36034 ,Garyeazohn Palava Hut ,"",Garyeazohn ,425 ,1
36041 ,Cestos High School ,"",Cestos ,1906 ,4
36042 ,Darsaw Public School ,"",Darsaw ,1394 ,3
