Voting ,"","","","",General 
Precinct ,COUNTY :BONG ,"",ELECTORAL DISTRICT : 6 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
6017 ,Flehla Public School ,"",Flehala ,2655 ,6
6024 ,Land Mines Action Building ,"",Tumutu ,720 ,2
6025 ,Salala Clinic ,"",Salala ,1426 ,3
6026 ,Martha Tubman School ,"",Salala ,1453 ,3
6027 ,Teaslay Mission ,"",Teaslay Mission ,682 ,2
6048 ,Gbondoi Public School ,"",Gbondoi Town ,1205 ,3
6050 ,Gborkornemah Public School ,"",Gborkornemah ,1347 ,3
6057 ,Quelleme Toto Elem. School ,"",Maimue Town ,1468 ,3
6058 ,Moipa-ta Public School ,"",Moipa-ta ,1074 ,3
6059 ,Velehyn Public School ,"",Velehyn ,819 ,2
6072 ,Loma -ta Lutheran School ,"",Loma ,1012 ,3
6073 ,Kpakolokoyah Public School ,"",Kpakolokoyah ,1826 ,4
6079 ,Leilei Public School ,"",Leilei ,282 ,1
6099 ,Sawyea Polu palava Hut ,"",Sawyea Polu Town ,587 ,2
6111 ,Garney Public School ,"",Garney I ,408 ,1
6113 ,Tokpaipolu Public School ,"",Tokpaipolu Town ,876 ,2
6115 ,E.J. Yancy High School ,"",Totota ,1860 ,4
6116 ,St. .John Lutheran School ,"",Totota ,1428 ,3
6117 ,Upper Room High School ,"",Totota ,943 ,2
6118 ,New Totota Community School ,"",Mulbah Farm ,1093 ,3
6124 ,Yaniquelleh public School ,"",Yaniquelleh ,851 ,2
6125 ,San-ta Public School ,"",San-ta ,450 ,1
6132 ,Zeansue Public School ,"",Zeansue I ,1986 ,4
6133 ,Kokila Palava Hut ,"",Kokila ,1253 ,3
