Code ,Locality ,Address ,Voters ,Places,""
21029 ,Foya Tengia Town Hall ,Foya Tengia ,2438 ,"",5
21035 ,Kamatahun Public School ,Kamatahun ,2328 ,"",5
21036 ,Fokolahun Public School ,Fokolahun ,1654 ,"",4
21043 ,Kimbaloe Public School ,Kimbaloe ,1174 ,"",3
21048 ,Folima Town Hall ,Folima ,2095 ,"",5
21049 ,Kamalah Town Hall ,Kamalah ,1632 ,"",4
21051 ,Langbemba Town Hall ,Langbemba ,1720 ,"",4
21052 ,Kpagamai Town Hall ,Kpagamai ,595 ,"",2
21062 ,Porlowu Public School ,Porlowu ,911 ,"",2
21063 ,Masambolahun Public School ,Masambolahun ,2072 ,"",5
21064 ,Lehun-Two Public School ,Lehun-Two ,751 ,"",2
21065 ,Fangonda Public School ,Fangonda Town ,810 ,"",2
21074 ,Kimbalahun Town Hall ,Kimbalahun ,586 ,"",2
21075 ,Popalahun Public School ,Popalahun ,1884 ,"",4
21096 ,Memolahun Public School ,Memolahun ,1415 ,"",3
21097 ,Seema Public School ,Seema ,1392 ,"",3
21098 ,Fulawahun Palava Hut ,Fulawahun Village ,2020 ,"",5
21099 ,Jorpowahun Town Hall ,Jorpowahun ,1836 ,"",4
21100 ,Vahun Town Hall ,Vahun ,2404 ,"",5
21113 ,Yassadu Public School ,Yassadu ,1556 ,"",4
