Code ,Locality ,Address ,Voters ,Places,""
6013 ,Gleannasiasue palava Hut ,Gleannasiasue ,1003 ,"",3
6016 ,Juah Mannah Elem. School ,Fenutoli ,721 ,"",2
6022 ,Garyea Public School ,Garyea II ,1232 ,"",3
6023 ,Dweayeapolu Palava Hut ,Dowayeapolu ,193 ,"",1
6040 ,Tumata Palava Hut ,Tumata ,594 ,"",2
6041 ,David Fajue School ,Gbartala ,1750 ,"",4
6042 ,David Fajue School ,Gbartala ,1772 ,"",4
6043 ,Voloblai palava Hut ,Voloblah ,847 ,"",2
6044 ,Taylor-ta Palava Hut ,Taylor-Ta ,1422 ,"",3
6053 ,Guermue Public School ,Guermue Town ,745 ,"",2
6054 ,Gwenimah Methodist School ,Gwenimah Town ,729 ,"",2
6055 ,Gokai Public School ,Gokai Town ,859 ,"",2
6056 ,Ganla Town Hall ,Ganla Town ,508 ,"",2
6091 ,Palala Palava Hut ,Palala ,408 ,"",1
6100 ,Sergeant Kollie Town Market ,Sergeant Kollie Town ,2011 ,"",5
6101 ,Phebe Community ,Phebe Hospital Compound ,1467 ,"",3
6103 ,Balamah Town Hall ,Balamah I ,1156 ,"",3
6104 ,Cuttington University ,Cuttington Compound ,944 ,"",2
6105 ,G.W. Gibson School ,Sinyea ,1325 ,"",3
6106 ,Suakoko Center High ,Suakoko ,399 ,"",1
6107 ,Suakoko Center High ,Suakoko ,1669 ,"",4
6108 ,Flomo Wannah Elem. School ,Suakoko ,1716 ,"",4
6114 ,Glenkormah Palava Hut ,Glenkormah Town ,968 ,"",2
