Voting ,"","","","",General 
Precinct ,COUNTY :SINOE ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
39002 ,Kunwiah Palava Hut ,"",Kunwiah ,517 ,2
39006 ,Tuzonburg Public School ,"",Tuzon ,630 ,2
39011 ,Karquekpo Palava Hut ,"",Karquekpo ,1138 ,3
39012 ,Doodwicken Public School ,"",Doodwicken ,641 ,2
39013 ,Ducor Free Public School ,"",Ducor Free ,626 ,2
39014 ,Joplokpo Palava Hut ,"",Joplokpo ,728 ,2
39016 ,Gbarteken Public School ,"",Gbarteken ,256 ,1
39017 ,Old Government Camp Palava Hut ,"",Old Government Camp-Neeteah ,1884 ,4
39019 ,Gmagmakpo Palava Hut ,"",Gmagmakpo ,564 ,2
39022 ,Kajaliken Public School ,"",Kajaliken ,354 ,1
39030 ,Diyankpo Palava Hut ,"",Diyankpo ,1091 ,3
39031 ,Titiyen Public School ,"",Tityyen Village ,268 ,1
39034 ,Nana Kru Palava Hut ,"",Nana kru ,578 ,2
39036 ,Kwitatuzon Palava Hut ,"",Kwitatuson ,413 ,1
39037 ,Saygbeken Public School ,"",Saygbeken ,1051 ,3
39042 ,Kwiatuo Juaryen Palava Hut ,"",Kwiatuo Juaryen ,440 ,1
39047 ,Sethum Juaryen Public School ,"",Sethum Juaryen ,504 ,2
39049 ,Setta Kru Palava Hut ,"",Setta Kru ,545 ,2
39054 ,Jarpuken Public School ,"",Jarpuken ,427 ,1
