Voting ,"","","","",General 
Precinct ,COUNTY :LOFA ,"",ELECTORAL DISTRICT : 3 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
21013 ,Lukasu Town Hall ,"",Lukasu ,1286 ,3
21014 ,Bondowalahun Town Hall ,"",Bondowalahun # 1 ,792 ,2
21015 ,Bowalahun Town Hall ,"",Boawohun ,999 ,2
21016 ,Gilema Town Hall ,"",Gilema ,468 ,1
21019 ,Balahun Public School ,"",Balahun (2) ,1156 ,3
21037 ,Taninahun Public School ,"",Taninahun ,1203 ,3
21050 ,Kpadehmai Town Hall ,"",Kpadehmai Town ,1108 ,3
21054 ,Zeayorzu Public School ,"",Zeayorzu Town ,412 ,1
21055 ,Kpakamai Public School ,"",Kpakamai ,521 ,2
21056 ,Bolahun Public School ,"",Bolahun Town (A) ,1446 ,3
21057 ,Sosomolahun Public School ,"",Sosomoilahun ,1201 ,3
21060 ,Lawalazu Town Hall ,"",Lawalazu ,1160 ,3
21061 ,Lawalazu Public School ,"",Lawalazu ,871 ,2
21067 ,Mbabahun Public School ,"",Mbabahun ,923 ,2
21068 ,Korworhun Public School ,"",Korworhun ,726 ,2
21071 ,Nyandemoilahun Public School ,"",Nyandemoilahun ,1148 ,3
21072 ,Pasolahun Town Hall ,"",Pasolahun ,478 ,1
21073 ,Gondorlahun Public School ,"",Gondorlahun ,809 ,2
21078 ,Savalahun Town Hall ,"",Savalahun ,1027 ,3
21079 ,Kamatahum Public School ,"",Kamatahun ,1010 ,3
21084 ,Kolahun Public School ,"",Kolahun ,2334 ,5
21085 ,Kolahun Town Hall ,"",Kolahun ,2451 ,5
21086 ,Somalahun Town Hall ,"",Somalahun ,1178 ,3
21093 ,Tawalahun Town Hall ,"",Tawalahun Town ,985 ,2
21094 ,Sammie Public School ,"",Sammie Ta ,701 ,2
21095 ,Tobogizizu Public School ,"",Tobogizizu ,1387 ,3
21111 ,Yaselahun Town Hall ,"",Yasselahun ,411 ,1
21112 ,Gelema Town Hall ,"",Gelema ,614 ,2
21116 ,Zawordamai Public School ,"",Zawordamai ,848 ,2
21117 ,Johny's Town Public School ,"",Johnny's ,391 ,1
21135 ,Ngorkorhun Public School ,"",Ngorkorhun ,1010 ,3
