Voting ,"","","","",General 
Precinct ,COUNTY :MONTSERRADO ,"",ELECTORAL DISTRICT : 16 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
30022 ,Wesleyan Academy ,"",Caldwell Community ,1007 ,3
30042 ,New Kru Town Adm. Building ,"",Central New Kru Town ,2590 ,6
30043 ,Tomorrow Children Int'l ,"",Central New Kru Town ,1747 ,4
30044 ,Tomorrow Children Int'l ,"",Central New Kru Town ,1582 ,4
30045 ,Greater Vision School ,"",Central New Kru Town ,1640 ,4
30070 ,Mark Richard Jr. High School ,"","Crab Hole, St. Paul Bridge ",1165 ,3
30071 ,Mark Richard Jr. High School ,"","Crab Hole, St. Paul Bridge ",1279 ,3
30080 ,Samuel Slewon Doe Institute ,"",Duala Market ,1356 ,3
30081 ,Victor Molu Institue ,"",Duala Market ,1805 ,4
30082 ,St. Mary High School ,"",Duala Market ,2064 ,5
30083 ,St. Mary High School ,"",Duala Market ,1901 ,4
30084 ,Diana E.Davis High School ,"",Duala Mombo Town - West ,464 ,1
30085 ,Diana E.Davis High School ,"",Duala Mombo Town - West ,598 ,2
30086 ,A.G.M. School ,"",Duala Mombo Town - East ,503 ,2
30087 ,A.G.M. School ,"",Duala Mombo Town - East ,894 ,2
30088 ,God is Our Light School ,"",Duala Mombo Town - East ,812 ,2
30089 ,God is Our Light School ,"",Duala Mombo Town - East ,887 ,2
30181 ,St. Thomas Elem. School ,"",Lagoon East/ New Kru Town ,964 ,2
30182 ,New kru Town AG School ,"",Lagoon East / New Kru Town ,727 ,2
30183 ,Momboe Town Community School ,"",Lagoon East / New Kru Town ,576 ,2
30184 ,New Kru Town Jr. High School ,"",Lagoon West / New Kru Town ,431 ,1
30185 ,New Kru Town Jr. High School ,"",Lagoon West / New Kru Town ,542 ,2
30211 ,NKT Elem. & Jr. High School ,"",Monboe Town West/New Kru Town ,1106 ,3
30212 ,NKT Elem. & Jr. High School ,"",Monboe Town West/New Kru Town ,965 ,2
30234 ,D. Tweh High School ,"",Nyuan Town/New Kru Town ,1080 ,3
30235 ,D. Tweh High School ,"",Nyuan Town/New Kru Town ,1095 ,3
30236 ,D. Tweh High School ,"",Nyuan Town /New Kru Town ,1034 ,3
30255 ,New Era School ,"",Point Four Community ,694 ,2
30256 ,New Era School ,"",Point Four Community ,1341 ,2
30259 ,Bishop Nah Dixon School ,"",Popo Beach A/ New Kru Town ,1549 ,4
30260 ,Bishop Nah Dixon School ,"",Popo Beach A / New Kru Town ,1262 ,3
30261 ,Barclay Nyenfueh School ,"",Popo Beach B / New Kru Town ,1086 ,3
30316 ,St. Paul Bridge Elem. School ,"",Tweh Farm ,1077 ,3
30317 ,St. Paul Bridge Elem. School ,"",Tweh Farm ,600 ,2
30318 ,Rev. Johnson W. T. Foundation School ,"",LMC Compound/ St. Paul Bridge ,1676 ,4
30340 ,Triump of God International School ,"",Vicky Spot /Logan Town ,264 ,1
