Voting ,"","","","",General 
Precinct ,COUNTY :MARYLAND ,"",ELECTORAL DISTRICT : 1 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
27001 ,Barraken Elem. School ,"",Barraken ,1112 ,3
27003 ,Big Town Public School ,"",Bolodui ,1315 ,3
27004 ,Cavalla Big Town Public School ,"",Cavalla Big Town ,1011 ,3
27005 ,Fish Town Public School ,"",Fish Town ,516 ,2
27006 ,Fodoken Town Hall ,"",Fodoken ,297 ,1
27016 ,Spring Hill Yealu Elem. School ,"",Spring Hill ,303 ,1
27017 ,Kablaken Town Hall ,"",Kablaken ,117 ,1
27018 ,Little Wlebo Elem. School ,"",Little Wlebo # 1 ,211 ,1
27019 ,Middle Town Hall ,"",Middle Town ,237 ,1
27021 ,Pedebo Elem. School ,"",Pedebo ,330 ,1
27022 ,Yookudi Elem. School ,"",Yookudi ,836 ,2
27028 ,Rock Town Public School ,"",Rock Town ,537 ,2
27029 ,Mission Town Hall ,"",Mission Town ,167 ,1
27032 ,Whole Graway Elem. School ,"",Whole Graway ,234 ,1
27033 ,Pullah Elem. School ,"",Pullah ,418 ,1
27035 ,Worteken Town Hall ,"",Worteken ,207 ,1
27036 ,Wuduke Palava Hut ,"",Wuduke ,980 ,2
27073 ,Harper City Hall ,"",Harper ,1222 ,3
27074 ,Cape Palmas High School ,"",Harper ,1483 ,3
27075 ,Agnes Thompson Elem. School ,"",Harper ,1475 ,3
27076 ,New Kru Town Hall ,"","New Kru Town, Harper ",844 ,2
27077 ,New Kru Town Palava Hut ,"","New Kru Town, Harper ",902 ,2
27078 ,East Harper Elem. School ,"",Harper ,2031 ,5
