Voting ,"","","","",General 
Precinct ,COUNTY :NIMBA ,"",ELECTORAL DISTRICT : 7 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
33001 ,Waymon Jr. High School ,"",Bahn ,1565 ,4
33002 ,Bahn High School ,"",Bahn ,1154 ,3
33003 ,Karyea Palava Hut ,"",Bahn ,1808 ,4
33011 ,Behyepea Public School ,"",Behyepea ,967 ,2
33023 ,Buanplay Public School ,"",Buanplay ,736 ,2
33037 ,Garwonpa Public School ,"",Garwonpa ,1052 ,3
33045 ,Gbanquoi Public School ,"",Gbanquoi ,1271 ,3
33058 ,Gblah Public School ,"",Gblah ,1399 ,3
33092 ,Guawin Palava Hut ,"",Guawin ,895 ,2
33108 ,Kpaytuo Public School ,"",Kpaytuo ,1739 ,4
33120 ,Loyee Public School ,"",Loyee ,1116 ,3
33123 ,Mehnpa Public School ,"",Mehnpa ,806 ,2
33127 ,Miaplay Bonnah Public School ,"",Miaplay Bonnah ,1613 ,4
33138 ,Kpowin Public School ,"",Kpowin ,600 ,2
33150 ,Saclepea S.D. Palava Hut ,"",Saclepea ,1821 ,4
33151 ,Saclepea Johnny Voka School ,"",Saclepea ,2540 ,6
33152 ,Saclepea Civil Compound ,"",Saclepea ,3590 ,8
33172 ,Bleevalay Public School ,"",Bleevalay ,463 ,1
33173 ,Troupoe Palava Hut ,"",Troupoe ,1001 ,3
33196 ,Zayglay Public School ,"",Zayglay ,955 ,2
33202 ,Duowin Palava Hut ,"",Duowin ,1553 ,4
33205 ,Zontuo S.D.A. School ,"",Zontuo ,945 ,2
