Code ,Locality ,Address ,Voters ,Places,""
12012 ,Kpeneji Town Hall ,Kpeneji I ,976 ,"",2
12018 ,King Jor Town Hall ,King Jor ,549 ,"",2
12019 ,Jenne Brown Public School ,Jenne Brown (A) ,1161 ,"",3
12025 ,Vonzula Public School ,Vonzula ,1279 ,"",3
12026 ,Bendu Public School ,Bendu (A) ,688 ,"",2
12027 ,Daniel Town Hall ,Daniel ,1189 ,"",3
12029 ,Sinje Public School ,Sinje (A) ,1914 ,"",4
12030 ,Jundu Town Hall ,Jundu ,894 ,"",2
12031 ,Mecca Community School ,Mecca ,763 ,"",2
12032 ,Zaway Public School ,Zaway ,283 ,"",1
12038 ,Mandoe Palava Hut ,Mandoe ,275 ,"",1
12039 ,Konja Town Hall ,Konja ,1804 ,"",4
12040 ,Mandina Public School ,Mandina ,2163 ,"",5
12041 ,Gbah Foboi Public School ,Gbah Foboi ,1915 ,"",4
12053 ,Sembehum Public School ,Sembehum ,341 ,"",1
12054 ,Latia Public School ,Latia ,489 ,"",1
12059 ,Kanga Public School ,Kanga Town ,928 ,"",2
12060 ,Bomboja Public School ,Bomboja Town ,725 ,"",2
12061 ,Senii Town Hall ,Senii Town ,612 ,"",2
12063 ,Robertsport High School ,Robertsport ,1257 ,"",3
12064 ,Islamic Model ,"Grassfield, Robertsport ",1201 ,"",3
