Voting ,"","","","",General 
Precinct ,COUNTY :MONTSERRADO ,"",ELECTORAL DISTRICT : 14 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
30030 ,Central Clara Town Hut ,"",Central Clara Town I ,2057 ,5
30031 ,Central Clara Town Hut ,"",Central Clara Town I ,2020 ,5
30032 ,Fanina Isaac School ,"",Central Clara Town I ,1651 ,4
30033 ,Clara Town Central High School ,"",Central Clara Town II ,1081 ,3
30034 ,Clara Town Central High School ,"",Central Clara Town II ,902 ,2
30035 ,James Doe Young School ,"",Central Clara Town II ,2152 ,5
30068 ,Mac Foundation School ,"",Cow Factory ,1481 ,3
30069 ,Mac Foundation School ,"",Cow Factory ,1370 ,3
30139 ,Savaco Community School ,"",Giblata/ VIA Town ,2268 ,5
30150 ,Royal Foundation School ,"",Hope Community/ Clara Town ,814 ,2
30151 ,Royal Foundation School ,"",Hope Community / Clara Town ,999 ,2
30249 ,Paity Town Gas Station ,"",Paity Town/ Clara Town ,696 ,2
30250 ,Paity Town Gas Station ,"",Paity Town / Clara Town ,715 ,2
30253 ,Ophelia Hoff Saytuman School ,"","Peugeot Garage, Clara Town ",1120 ,3
30254 ,Timosa Elementary School ,"","Patco Yard, Freeport ",2251 ,5
30266 ,Marvia Sonu Elem. School ,"","River View, Clara Town ",1058 ,3
30267 ,Marvia Sonu Elem. School ,"","River View, Clara Town ",1097 ,3
30268 ,Marvia Sonu Elem. School ,"","River View, Clara Town ",978 ,2
30297 ,Maude Popla Memorial School ,"",Struggle Community ,2428 ,5
30298 ,S.K.D. Community Elem. School ,"",Struggle Community ,1533 ,4
30299 ,S.K.D. Community Elem. School ,"",Struggle Community ,1546 ,4
30300 ,Busroad Memorial Institute ,"",Struggle Community ,1229 ,3
30301 ,Busroad Memorial Institute ,"",Struggle Community ,950 ,3
30337 ,Vai Town Market Block Factory ,"",Vai Town A ,2735 ,6
30338 ,Imam Adullah Tunis School ,"",Vai Town B ,1374 ,3
30339 ,Imam Adullah Tunis School ,"",Vai Town B ,1313 ,3
