Voting ,"","","","",General 
Precinct ,COUNTY :MARGIBI ,"",ELECTORAL DISTRICT : 5 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
24001 ,Bondo Barwo School ,"",Bondo Barwo ,634 ,2
24002 ,Yarnwullie Public School ,"",Yarnwullie ,1189 ,3
24003 ,Barclay's Farm School of Christ ,"",Barclay's Farm ,2752 ,6
24004 ,Nuah Town Palava Hut ,"",Nuah Town ,275 ,1
24005 ,Behn Gbowron Town Palava Hut ,"",Behn Gbowron ,498 ,1
24006 ,Lakar Town Palava Hut ,"",Lakar Town ,212 ,1
24011 ,Baypolu Public School ,"",Baypolu Town ,1506 ,4
24012 ,S. R. C. Camp III Public School ,"",S. R. C. Camp III ,600 ,2
24013 ,Cinta Public School ,"",Cinta ,880 ,2
24014 ,Vayema Palava Hut ,"",Vayema ,342 ,1
24039 ,Gleegbar Town Public School ,"",Gleegbar ,620 ,2
24040 ,Gao Town Public School ,"",Gao ,432 ,1
24043 ,Konola Mission School ,"",Konola ,824 ,2
24044 ,Jennita Palava Hut ,"",Jennita Town ,992 ,2
24045 ,Laynala Palava Hut ,"",Laynala Town ,810 ,2
24046 ,Bolorla Palava Hut ,"",Bolorla Town ,535 ,2
24047 ,Weala Palava Hut ,"",Weala Town ,1896 ,4
24052 ,Kono Town Palava Hut ,"",Kono ,445 ,1
24053 ,Gbarjor Kor Palava Hut ,"",Gbarjor Kor ,450 ,1
24054 ,Gbolin Boe-Dian Public School ,"",Gbolin Boe-Dian ,312 ,1
24055 ,Poye's Town Palava Hut ,"",Poye's Town ,422 ,1
24056 ,Worhn Public School ,"",Worhn ,1335 ,3
24060 ,Massaquoi Public school ,"",Massaquoi ,1204 ,3
24061 ,S.R.C. Camp l Palava Hut ,"",S.R.C. Camp I ,1069 ,3
24064 ,Fahn Tika Palava Hut ,"",Fahn Tika ,346 ,1
24065 ,Gbudu Town Palava Hut ,"",Gbudu ,470 ,1
24066 ,Zeo Town Palava Hut ,"",Zeo ,396 ,1
24069 ,Wolaila Public School ,"",Wolaila ,495 ,1
24072 ,Peter Town School ,"",Peter ,950 ,2
24073 ,Lonfay Palava Hut ,"",Lonfay ,446 ,1
