Voting ,"","","","",General 
Precinct ,COUNTY :GRAND CAPE MOUNT ,"",ELECTORAL DISTRICT : 1 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
12002 ,Largor Public School ,"",Largor ,674 ,2
12005 ,Fornor Town Hall ,"",Fornor ,503 ,2
12006 ,Kawelahun Town Hall ,"",Kawelahun ,788 ,2
12007 ,Kongo Town Hall ,"",Kongo ,1408 ,3
12013 ,Keita Town Hall ,"",Keita ,273 ,1
12014 ,Behgondor Public School ,"",Behgondor ,835 ,2
12015 ,Gold Camp Public School ,"",Gold Camp (A) ,1061 ,3
12016 ,Bamballa Public School ,"",Bamballa Town (A) ,2171 ,5
12017 ,Laah Town Hall ,"",Laah Town ,552 ,2
12020 ,Jenne Mana Public School ,"",Jenne Mana ,540 ,2
12021 ,Small Benduma Town Hall ,"",Small Benduma ,460 ,1
12022 ,Butter Hill Public School ,"",Butter Hill ,576 ,2
12023 ,Bombor Old Town Hall ,"",Bombor Old Town ,577 ,2
12035 ,Weajue Public School ,"",Weajue ,1491 ,3
12036 ,Managorduah Town Hall ,"",Managorduah(A) ,571 ,2
12037 ,Varguaye Public School ,"",Varguaye ,425 ,1
12042 ,Camp Israel School Building ,"",Camp Israel ,271 ,1
12043 ,Fulah Camp Town Hall ,"",Fulah Camp ,293 ,1
12044 ,Marbon Wanga Town Hall ,"",Marbon Wanga ,345 ,1
12045 ,Mecca Public School ,"",Mecca ,726 ,2
12051 ,Varkianway I Town Hall ,"",Varkianway I ,797 ,2
12055 ,Tahn Town Public School ,"",Tahn Town ,1088 ,3
12056 ,Lofa Bridge Public School ,"",Lofa Bridge ,1707 ,4
12057 ,Marbon Dorley Town Public School ,"",Marbon Dorley Town ,318 ,1
