Voting ,"","","","",General 
Precinct ,COUNTY :GRAND BASSA ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
9004 ,Belefanna Town Palava Hut ,"",Belefanna ,562 ,2
9005 ,Albert Town Palava Hut ,"",Albert ,299 ,1
9006 ,Charley Gio Town Palava Hut ,"",Charley Gio ,239 ,1
9025 ,Garneo Town Palava Hut ,"",Garneo ,896 ,2
9031 ,Gbanah Town Palava Hut ,"",Gbanah ,433 ,1
9032 ,Jumoi Town Palava Hut ,"",Jumoi ,568 ,2
9035 ,Gborgar Town Palava Hut ,"",Gborgar ,345 ,1
9036 ,Bohn Town Palava Hut ,"",Bohn ,410 ,1
9040 ,Boeglay Town Palava Hut ,"",Boeglay ,515 ,2
9041 ,Whergbo Town Palava Hut ,"",Whergbo ,448 ,1
9053 ,Kpelleh Zahn Town Palava Hut ,"",Kpelleh Zahn ,749 ,2
9054 ,Quejay Town Palava Hut ,"",Quejay ,611 ,2
9058 ,Johnny Diggs Town Palava Hut ,"",Johnny Diggs ,460 ,1
9059 ,Jacob Town Palava Hut ,"",Jacob ,403 ,1
9063 ,Womia Town Palava Hut ,"",Womia ,505 ,2
9066 ,Ballahwein Town Palava Hut ,"",Ballahwein ,412 ,1
9067 ,Buahwein Town Palava Hut ,"",Buahwein ,162 ,1
9068 ,Civil Compound # 2 Administrative Building ,"",Civil Compound ,1245 ,3
9069 ,Kotarr Town Palava Hut ,"",Kotarr ,280 ,1
9070 ,S.D.A Mission School Building ,"",S.D.A Mission ,387 ,1
9071 ,Tepenneh Town Palava Hut ,"",Tepenneh ,425 ,1
9072 ,Teekpor School Building ,"",Teekpor ,285 ,1
9073 ,Zahn Town Palava Hut ,"",Zahn ,609 ,2
9074 ,Palapolu Town Palava Hut ,"",Palapolu ,301 ,1
9075 ,Daniel Town Palava Hut ,"",Daniel ,266 ,1
9078 ,Molon Town Palava Hut ,"",Molon ,520 ,2
9103 ,Senyah Town Palava Hut ,"",Senyah ,1017 ,3
9104 ,Karngbopue Town Palava Hut ,"",Karngbopue ,464 ,1
9136 ,Passing Village Palava Hut ,"",Passing Village ,347 ,1
9137 ,Zekar Palava Hut ,"",Zekar ,187 ,1
9138 ,Fortsville School Building ,"",Fortsville ,1071 ,3
9139 ,Frazier Town Palava Hut ,"",Frazier ,643 ,2
9140 ,Waka Town Palava Hut ,"",Waka ,1063 ,3
9143 ,Rev. Gardiner School ,"",Picker Town ,465 ,1
9144 ,Keliby Palava Hut ,"",Keliby Town ,295 ,1
9145 ,Joseph M.N Gbadyu School ,"",Taye Town ,674 ,2
9146 ,James Henry's Town Palava Hut ,"",James Henry ,812 ,2
9147 ,Barduah School Building ,"",Barduah ,546 ,2
9148 ,Blagbahn Palava Hut ,"",Blagbahn ,466 ,1
