Code ,Locality ,Address ,Voters ,Places,""
24007 ,Richard Town Palava Hut ,Richard ,539 ,"",2
24008 ,Konoquelleh Town Palava Hut ,Konoquelleh ,434 ,"",1
24009 ,Brown Farm Palava Hut ,Brown Farm ,1011 ,"",3
24010 ,David Cooper Farm Palava Hut ,David Cooper ,904 ,"",2
24037 ,J.D. Lassana Farm Palava Hut ,J.D. Lassana Farm ,421 ,"",1
24038 ,Gboyarmu Palava Hut ,Gboyarmu ,382 ,"",1
24041 ,Gwepolosue Palava Hut ,Gwepolosue ,900 ,"",2
24042 ,Laketa Palava Hut ,Laketa ,1510 ,"",4
24048 ,Vanyema Palava Hut ,Vanyema ,397 ,"",1
24049 ,David T. Cooper Palava Hut ,David T.Cooper ,645 ,"",2
24051 ,Gweemenie Palava Hut ,Gweemenie ,589 ,"",2
24057 ,Kpinkpah Folo Town Palava Hut ,Kpinkpah Folo Town ,517 ,"",2
24058 ,Mary Page Farm Palava Hut ,Mary Page Farm ,444 ,"",1
24062 ,Arthur Sherman Farm Palava Hut ,Arthur Sherman Farm ,762 ,"",2
24063 ,Slocum Mission School ,Slocum Mission ,598 ,"",2
24067 ,Vartiker Town Palava Hut ,Vartiker ,363 ,"",1
24068 ,Gweh Paye Palava Hut ,Gweh Paye ,192 ,"",1
24071 ,Yeamen Public School ,Yeamen ,383 ,"",1
24110 ,BWI Campus ,BWI Community ,2112 ,"",5
24111 ,Philadelphia Church ,Gio Quarter ,1753 ,"",4
24112 ,Aminata Gas Station ,Central Kakata ,2514 ,"",6
24113 ,St. Paul Lutheran School ,Lango Town ,2212 ,"",5
24114 ,Lango Lippaye ,Bassa Community ,1622 ,"",4
24115 ,Calvary Baptish School ,Gbandi Community ,1036 ,"",3
24116 ,Conquerors Pentecostal School ,Sackie Morris ,1158 ,"",3
24117 ,Benla Community School ,Benla Community ,607 ,"",2
24123 ,Free Pentecostal School ,Sugar Hill Community ,1124 ,"",3
24124 ,John Joseph School ,Central Kakata ,1133 ,"",3
