Voting ,"","","","",General 
Precinct ,COUNTY :LOFA ,"",ELECTORAL DISTRICT : 4 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
21006 ,Barkedu Public School ,"",Barkedu ,1495 ,4
21007 ,Barkedu Town Hall ,"",Barkedu ,1534 ,4
21008 ,Barziwen Public School ,"",Barziwen ,1080 ,3
21017 ,Dayzabah Public School ,"",Dayzabah ,395 ,1
21018 ,David Selma-ta Public School ,"",David Selma-ta ,991 ,2
21038 ,Karzah Public School ,"",Karzah Town ,498 ,1
21039 ,Wobeyammai Town Hall ,"",Wobeyammai ,307 ,1
21040 ,"Bazagizia, Public School ","",Bazagizia ,936 ,2
21041 ,Betejama Public School ,"",Betejama ,663 ,2
21044 ,Konia Public School ,"",Konia ,2495 ,6
21045 ,Luyeama Public School ,"",Luyeama ,755 ,2
21080 ,Sarkonedu Public School ,"",Sarkonedu ,1287 ,3
21081 ,Sarkonedu Public School ,"",Sarkonedu ,871 ,2
21082 ,Kondadu Public School ,"",Kondadu ,1045 ,3
21088 ,Samodu Public School ,"",Samodu ,884 ,2
21089 ,Jarmulor Public School ,"",Jarmulor ,525 ,2
21101 ,Vezala Public School ,"",Vezala ,1163 ,3
21102 ,Korlela Public School ,"",Korlela ,747 ,2
21103 ,Kanela Public School ,"",Kanela ,673 ,2
21104 ,Tussu Public School ,"",Tussu ,768 ,2
21107 ,Marverkonnedu Public School ,"",Marverkonnedu ,435 ,1
21108 ,Gbegbedu Public School ,"",Gbegbedu ,1388 ,3
21109 ,Kugbemai Public ,"",Kugbemai Town ,862 ,2
21121 ,Blakpalasu Public School ,"",Balakpalasu ,842 ,2
21122 ,John's Town Public School ,"",John's ,1026 ,3
21129 ,Karsa Gas Station ,"",Karsa ,2348 ,5
21130 ,Tenebu Town Hall ,"",Tennebu ,641 ,2
21131 ,Voinjama F.P. Mission School ,"",Voinjama ,2082 ,5
21132 ,LPMC Town Hall ,"",L.P.M.C Camp ,658 ,2
21133 ,Selega Town Hall ,"",Selega ,465 ,1
21134 ,Voinjama Market Hall ,"",Voinjama Market Community ,2522 ,6
21136 ,Voinjama Catholic School ,"",Voinjama ,1364 ,3
21137 ,Kintoma Town Hall ,"",Kintoma Town ,1926 ,4
21138 ,Kuluka Town Hall ,"",Kulukar ,742 ,2
21139 ,Korwolane Town Hall ,"",Ward Nine ,906 ,2
