Voting ,"","","","",General 
Precinct ,COUNTY :MONTSERRADO ,"",ELECTORAL DISTRICT : 11 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
30006 ,E. Jonathan Goodridge School ,"",Barnersville Estate ,2394 ,5
30007 ,E. Jonathan Goodridge School ,"",Barnersville Estate ,2730 ,6
30008 ,Gardnersville Town Hall ,"",Barnersville Road ,2094 ,5
30009 ,Step of Faith Academy ,"", Patience Shop Barnersville Road ,1320 ,3
30013 ,Bardnersville Community Institute ,"","Behwein Community, Bardnersville ",1127 ,3
30014 ,Shirley Kolmer Catholic School ,"","Behwein Community, Bardnersville ",1589 ,4
30023 ,Caldwell Market ,"",Caldwell Market ,3110 ,7
30073 ,Bardnesville Public School ,"","Behind the Town Hall, Dabwe Town, Bardnesvill ",1552 ,5
30074 ,(J & M) Jerbo & Martha Jr. High School ,"",Day Break Mouth Open ,1879 ,4
30079 ,Dixville Public School ,"",Dixville A ,970 ,2
30090 ,Grace Baptist Church School ,"",Duan Town ,2484 ,5
30144 ,Lombardia International School System ,"",Grass Field ,1045 ,3
30145 ,Lombardia International School System ,"",Grass Field ,958 ,2
30154 ,Duja School ,"",J.E. Marshall ,1213 ,3
30155 ,Jimmy Jolocon School ,"",Supermarket Community ,2552 ,6
30158 ,Seku Ibrahim Sheriff Elem. & Jr. High School ,"",J.J.Y. - Snow Hill ,1815 ,4
30168 ,Bardnersville Town Hall ,"",Kaba Town ,1815 ,4
30169 ,New Life Christian Academy ,"",Kaba Town ,2691 ,6
30269 ,Samukal Community Center ,"","Samukai Town, Caldwell ",1228 ,3
30326 ,E.T.M.I School ,"",Upper Caldwell ,1124 ,3
