Voting ,"","","","",General 
Precinct ,COUNTY :NIMBA ,"",ELECTORAL DISTRICT : 5 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
33007 ,Beadatuo Public School ,"",Beadatuo ,1706 ,4
33009 ,Beeplay Public School ,"",Beeplay ,1404 ,3
33013 ,Glarlay Public School ,"",Glarlay ,1652 ,4
33015 ,Blemieplay Public School ,"",Blemieplay ,1476 ,3
33025 ,Buutuo Public School ,"",Nyor Buutuo ,1942 ,4
33027 ,Butuo Public School ,"",Butuo ,1636 ,4
33030 ,Frolay Public School ,"",Frolay ,1596 ,4
33031 ,Dinplay Public School ,"",Dinplay ,1660 ,4
33046 ,Gbanwea Public School ,"",Gbanwea ,1268 ,3
33083 ,Glarlay Public School ,"",Glarlay New Town ,1714 ,4
33088 ,Gomahplay Public School ,"",Gomahplay ,1489 ,3
33139 ,Lepula Public School ,"",Lepula ,1358 ,3
33140 ,Nyarlay Public School ,"",Nyarlay ,1419 ,3
33160 ,Tanwea Public School ,"",Tanwea ,711 ,2
33165 ,Teahplay Public School ,"",Teahplay ,964 ,2
33166 ,Tiaplay Public School ,"",Tiaplay ,1008 ,3
33208 ,Zuaplay Public School ,"",Zuaplay ,779 ,2
33209 ,Gbloulay Public School ,"",Gbloulay ,1533 ,4
