Code ,Locality ,Address ,Voters ,Places,""
9149 ,Moncray Town Palava Hut ,Moncray ,740 ,"",2
9150 ,Wheigo Town Palava Hut ,Wheigo ,647 ,"",2
9164 ,Gaye Gbokone Town Palava Hut ,Gonnigar ,382 ,"",1
9165 ,Zammie Town Palava Hut ,Zammie ,476 ,"",1
9166 ,Zegar Town Palava Hut ,Zegar ,357 ,"",1
9167 ,Tutu Town School Building ,Tutu ,396 ,"",1
9170 ,Noway Town School Building ,Noway ,168 ,"",1
9171 ,Bowine Town School Building ,Bowine ,183 ,"",1
9172 ,Juah Town School Building ,Juah ,718 ,"",2
9173 ,Dennis Town Palava Hut ,Dennis ,197 ,"",1
