Voting ,"","","","",General 
Precinct ,COUNTY :GRAND GEDEH ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
15002 ,Sayou-Woe Palava Hut ,"",Sayou-Woe ,735 ,2
15003 ,Buway Palava Hut ,"",Buway ,243 ,1
15005 ,Billibo Public School ,"",Billibo ,433 ,1
15008 ,Boundary Town Public School ,"",Boundary Town Two ,658 ,2
15009 ,Chattan Elem. School ,"",Clotetee ,683 ,2
15012 ,Nyongbah Public School ,"",Nyongbah ,294 ,1
15014 ,Flah Palava Hut ,"",Flah ,181 ,1
15016 ,Pellizon Elem. School ,"",Pellizon ,339 ,1
15018 ,Geebio Public School ,"",Geebio ,554 ,2
15021 ,Glay Palava Hut ,"",Glay ,513 ,2
15022 ,Glaplay Town Public School ,"",Gleplay ,380 ,1
15023 ,Beh Town Elem. School ,"",Beh ,145 ,1
15025 ,Jarwadee Public School ,"",Jarwadee ,999 ,2
15028 ,Karlorwieh Public School ,"",Karlorwieh ,1348 ,3
15029 ,Gardueh Town Public School ,"",Gardueh ,330 ,1
15031 ,Peah Elem. School ,"",Peah ,165 ,1
15032 ,Pennoken Putu Central High ,"",Pennoken ,975 ,2
15033 ,Petroken Elem. School ,"",Petroken ,1552 ,4
15038 ,Kumah Town Public School ,"",Kumah ,259 ,1
15039 ,Tarloken Elem. & Jr. High School ,"",Tarloken ,356 ,1
15042 ,Toffoi Town Public School ,"",Toffoi ,925 ,2
15043 ,Togbayee Elem. School ,"",Togbayee ,472 ,1
15049 ,Belleh Yallah Palava Hut ,"",Belleh Yallah ,1674 ,4
15050 ,Wrabo Palava Hut ,"",Wrabo ,107 ,1
15051 ,Konobo Central High School ,"",Ziah ,411 ,1
15052 ,Ziah Town Hall ,"",Ziah ,1410 ,3
15053 ,Wulu Elem. School ,"",Wulu ,269 ,1
